NAME:,walk_2_1,,
13.38,0.78,-8.83,-5.06
13.45,2.82,-10,-5.02
13.52,2.31,-9.81,-6.51
13.59,7.49,-18.4,-0.63
13.67,3.3,-2.59,-4.63
13.74,5.3,-9.65,-2.08
13.81,3.73,-8.2,-3.14
13.88,2.31,-7.96,-2.98
13.95,2.43,-9.06,-3.18
14.02,3.1,-9.41,-2.43
14.09,2.12,-8.71,-3.22
14.16,3.02,-9.77,-2.12
14.23,2.04,-9.49,-3.45
14.31,2.71,-11.22,-2.47
14.38,4.55,-13.06,-1.37
14.45,4.55,-8.51,-3.57
14.52,3.14,-10.28,-2.94
14.59,1.92,-8.39,-3.96
14.66,3.8,-8.12,-4.35
14.73,2.12,-7.85,-4
14.8,1.33,-9.06,-4.63
14.87,2.47,-9.38,-4.71
14.94,2.55,-10,-5.14
15.01,4.86,-9.89,-5.49
15.09,7.53,-9.06,-8.24
15.16,2.31,-10.55,-1.14
15.23,2.98,-6.32,-3.96
15.3,3.8,-9.89,-1.84
15.37,2.31,-8.24,-2.16
15.44,2.55,-9.57,-3.14
15.51,2.55,-9.1,-2.47
15.58,2.24,-9.38,-2.51
15.65,3.22,-9.49,-2.12
15.73,1.14,-9.69,-3.14
15.8,2.86,-10.94,-2.63
15.87,4.12,-12.47,-1.57
15.94,5.02,-8.12,-3.69
16.01,3.02,-11.06,-3.06
16.08,3.33,-8.51,-3.45
16.15,3.77,-7.92,-3.8
16.22,3.06,-8.12,-4.43
16.29,2.59,-8.32,-5.02
16.36,2.39,-8.32,-5.3
16.43,3.18,-9.92,-5.02
16.51,2.82,-8.63,-6.12
16.58,5.02,-13.65,-3.88
16.65,3.57,-2.08,-6
16.72,3.14,-16,0.98
16.79,3.18,-7.26,-3.14
16.86,3.92,-10.51,-2.16
16.93,1.65,-8,-2.55
17,3.49,-9.61,-2.75
17.07,2.63,-8.55,-2.55
17.15,2.04,-9.1,-3.02
17.22,3.02,-10.08,-2.9
17.29,2.16,-9.41,-3.84
17.36,0.98,-9.57,-4.12
17.43,2.28,-11.92,-2.08
17.5,4.71,-8.98,-0.35
17.57,3.57,-7.3,-3.96
17.64,1.92,-11.18,-3.3
17.71,1.88,-7.88,-4.2
17.78,2.39,-8.28,-3.96
17.85,2.55,-7.49,-4.59
17.93,1.69,-8.83,-4.82
18,3.22,-10.98,-5.73
18.07,0.2,-9.49,-6.12
19.32,2.04,-7.96,-4.55
19.4,1.65,-9.81,-4
20.32,0.12,-9.61,-2.71
20.39,1.65,-12.83,-0.75
20.46,5.49,-8.79,-1.45
21.31,3.3,-14,0.35
21.38,3.49,-7.53,-3.33
21.45,3.88,-10.04,-1.57
21.53,2.63,-8.75,-2.08
21.6,2.75,-9.1,-2.43
21.67,2.63,-9.26,-2.28
21.74,2.43,-9.34,-2
21.81,2.24,-9.77,-2.2
21.88,2.39,-10.16,-1.65
21.95,1.92,-12.55,-0.39
22.02,4.16,-7.92,-2.24
22.09,2.63,-8.32,-2.82
22.17,3.26,-8.9,-2.31
22.24,3.65,-8.36,-3.26
22.31,3.41,-8.12,-3.37
22.38,3.33,-8.43,-3.77
22.45,2.51,-8.63,-4.24
22.52,2,-8.98,-5.26
22.59,2.28,-10.24,-5.3
22.66,1.61,-9.06,-6.83
22.73,1.96,-14.32,0.35
22.8,4.9,-3.65,-4.98
22.87,3.57,-13.57,0.43
22.95,3.02,-7.18,-3.49
23.02,4.08,-10.12,-2.28
23.09,2.43,-7.92,-2.28
23.16,3.53,-9.69,-2.51
23.23,2.51,-9.02,-2.63
23.3,2.98,-9.45,-2.35
23.37,2.71,-9.34,-2.98
23.44,0.98,-9.34,-3.22
23.51,3.22,-12.47,-1.65
23.59,3.26,-10.51,-1.06
23.66,2.98,-7.06,-1.73
23.73,2.82,-9.69,-2.59
23.8,3.37,-9.57,-2.82
23.87,2.2,-7.65,-3.53
23.94,3.22,-8.28,-3.73
24.01,2.79,-8.08,-4.2
24.08,2.47,-8.2,-4.79
24.15,2.9,-10.08,-5.77
24.22,0.71,-10.28,-6.98
24.29,4.71,-15.93,0.31
24.37,4.59,-2.31,-5.18
24.44,4.08,-13.49,1.53
24.51,3.88,-6.39,-3.49
24.58,4.08,-8.71,-2.39
24.65,2.79,-8.67,-2.51
24.72,3.14,-9.49,-2.79
24.79,2.79,-9.1,-2.94
24.86,2.55,-9.65,-2.86
24.93,1.61,-9.41,-4.63
25.01,3.57,-11.81,-0.94
25.08,4.63,-11.73,-0.35
25.15,3.45,-6.79,-3.45
25.22,3.1,-11.26,-2.86
25.29,2.39,-8.36,-4
25.36,2.98,-7.65,-4.08
25.43,2.71,-7.69,-4.59
25.5,1.88,-8.16,-5.22
25.57,3.73,-10.51,-5.49
25.64,0.47,-9.26,-7.45
25.71,4.79,-15.57,-1.14
25.79,3.8,-1.8,-4.63
25.86,4.39,-10.79,-0.35
25.93,3.77,-6.94,-3.65
26,3.37,-9.18,-2.35
26.07,1.88,-8.79,-2.59
26.14,2.63,-9.49,-2.98
26.21,2.9,-8.9,-3.14
26.28,2.75,-10.12,-2.12
26.35,1.96,-9.65,-3.96
26.43,1.88,-12.24,-1.77
26.5,4.98,-8.98,-0.47
26.57,3.49,-7.57,-3.65
27.28,2.79,-11.22,-1.22
27.35,3.77,-6.28,-3.88
27.42,4.16,-10.16,-1.96
27.49,2.12,-7.65,-2.47
27.56,2.98,-9.77,-3.37
27.63,2.39,-8.71,-2.98
27.7,2.75,-9.41,-2.39
27.77,3.18,-9.65,-2.82
27.84,2,-9.41,-3.14
27.92,0.71,-9.38,-2.98
27.99,2.43,-12,-2
28.06,4.04,-9.1,-1.77
28.13,4.16,-8.47,-2.04
28.2,3.02,-9.34,-4.31
28.27,2.94,-9.22,-3.57
28.34,3.49,-7.73,-4.39
28.41,2.43,-8.24,-4.35
28.48,1.77,-8,-4.82
28.56,2.39,-9.77,-5.06
28.63,2.43,-9.73,-6.24
28.7,1.65,-8.08,-6.59
28.77,7.37,-14.83,-2.08
28.84,4.28,-3.61,-4.67
28.91,2.9,-7.85,-2.82
28.98,3.41,-7.37,-3.65
29.05,4,-9.41,-3.02
29.12,2.71,-8.28,-2.75
29.19,2.39,-9.65,-3.3
29.26,2.67,-9.14,-3.37
29.34,1.92,-9.14,-2.39
29.41,2.79,-9.81,-4.04
29.48,0.55,-9.53,-3.69
29.55,3.73,-13.73,-1.65
29.62,3.1,-7.96,-0.98
29.69,3.61,-8.24,-2.51
29.76,1.22,-10.67,-3.1
29.83,1.96,-8.59,-4.39
29.9,3.06,-7.61,-4.28
29.98,2.67,-7.37,-4.47
30.05,2.04,-8.51,-5.37
30.12,2.71,-9.57,-6.71
30.19,1.22,-8.71,-7.34
30.26,8.16,-18.75,2.35
30.33,3.8,-0.31,-5.3
30.4,3.65,-7.96,-4.63
30.47,4.43,-9.53,-2.43
30.54,4.35,-8.94,-1.92
30.61,1.14,-8.71,-3.37
30.68,2.82,-9.06,-3.06
30.76,3.02,-9.34,-3.14
30.83,3.26,-9.73,-2.79
30.9,1.65,-9.18,-3.96
30.97,2.82,-10.4,-2.67
31.04,4.04,-12.63,-1.14
31.11,4.12,-7.06,-1.92
31.18,3.53,-9.14,-3.06
31.25,2.39,-9.57,-3.37
31.32,2.75,-7.1,-3.8
31.4,2.79,-7.96,-4.59
31.47,2.2,-7.65,-5.18
31.54,1.8,-9.38,-4.43
31.61,0.82,-10.4,-7.37
31.68,4.43,-8.87,-7.22
31.75,6.32,-9.61,-7.96
31.82,3.26,-4.94,-4.08
31.89,2.59,-6.2,-4.43
31.96,4.71,-9.73,-2.55
32.03,2.86,-8.04,-2.35
32.1,2.24,-9.34,-3.06
32.18,2.71,-9.02,-2.82
32.25,2.63,-9.1,-3.18
32.32,3.22,-10.04,-3.45
32.39,0.24,-9.53,-2.98
32.46,2.67,-12.51,-0.98
32.53,4.12,-7.92,-1.26
35.78,2.16,-8.59,-4.55
35.85,1.88,-8.79,-4.47
36.28,3.1,-6.83,-3.18
36.35,5.49,-9.26,-2.35
36.42,3.8,-8.63,-2.2
36.49,1.96,-9.06,-2.43
36.56,3.3,-9.57,-2.31
36.64,2.2,-9.49,-2.2
36.71,2.98,-10.08,-2
36.78,2.2,-9.22,-3.77
36.85,1.41,-9.85,-2.86
36.92,2.35,-12.59,-1.26
36.99,2.9,-7.41,-2.63
37.06,3.84,-9.65,-3.77
37.13,1.29,-8.98,-3.84
37.2,2.63,-7.45,-4.51
37.27,2.63,-7.49,-4.55
37.34,2.08,-7.77,-4.98
37.42,1.65,-9.18,-5.53
37.49,2.04,-10.24,-5.14
37.56,1.41,-8.24,-7.37
37.63,9.38,-11.14,-5.18
37.7,0.98,-1.53,-3.53
37.77,4.2,-6.94,-5.02
37.84,4.59,-9.22,-2.55
37.91,3.06,-8,-2.28
37.98,2.43,-9.34,-2.79
38.06,2.63,-8.63,-2.63
38.13,2.79,-9.45,-2
38.2,3.02,-9.49,-3.3
38.27,0.67,-9.85,-3.37
38.34,2.51,-11.26,-2.16
38.41,5.18,-9.61,-0.04
38.48,2.86,-7.88,-4.04
38.55,2.75,-10.75,-3.02
38.62,2.51,-7.02,-4.12
38.69,3.57,-7.34,-4.24
38.76,2.55,-7.49,-4.9
38.84,1.41,-8.67,-5.77
38.91,3.37,-10.08,-5.57
38.98,1.96,-8.79,-8.2
39.05,9.53,-11.1,-5.81
39.12,2.16,-2.63,-3.37
39.19,4.04,-6.75,-4.59
39.26,4.28,-9.38,-2.63
39.33,2.51,-8.24,-2.75
39.4,2.86,-9.06,-3.06
39.48,3.06,-8.63,-2.67
39.55,3.14,-9.61,-2.24
39.62,2.59,-9.81,-2.82
39.69,2.31,-10.16,-2.63
39.76,2.51,-12.12,-1.61
39.83,4.98,-8.94,-3.06
39.9,1.57,-8.39,-3.73
39.97,2.79,-8.04,-3.77
40.04,4.2,-8.12,-4.63
40.11,2.08,-7.73,-4.28
40.18,1.88,-8.08,-4.43
40.26,2.2,-9.34,-5.37
40.33,1.84,-9.85,-4.94
40.4,1.26,-8.67,-6.63
40.47,6.51,-18.32,-1.1
40.54,3.3,1.02,-4.51
40.61,3.22,-13.45,-1.29
40.68,4.82,-9.45,-1.65
40.75,3.69,-8.43,-2.39
40.82,2.75,-9.3,-2.39
40.9,2.55,-8.98,-2.75
40.97,2.51,-8.83,-3.22
41.04,2.16,-9.77,-3.33
41.11,3.41,-9.85,-2.98
41.18,4.75,-13.85,0.12
41.25,4.82,-7.73,-3.92
41.32,3.49,-9.81,-3.37
41.39,2,-8.39,-4.12
41.46,3.92,-7.1,-4.12
41.53,3.18,-7.37,-4.55
42.24,2.67,-9.14,-2.98
42.31,2.63,-9.18,-2.71
42.39,2.79,-9.73,-2.9
42.46,0.98,-10.12,-3.96
42.53,2.47,-10.55,-2.12
42.6,4.39,-9.92,-0.27
42.67,3.22,-6.98,-3.73
42.74,3.3,-11.73,-2.98
42.81,2.63,-7.37,-4.08
42.88,3.18,-7.77,-4.16
42.95,3.1,-7.37,-4.39
43.03,1.88,-8.71,-5.37
43.1,2.51,-9.77,-5.49
43.17,0.71,-10.28,-6.47
43.24,7.06,-12.83,-4.82
43.31,4.63,-6.35,-6.04
43.38,2.35,-12.51,-0.78
43.45,3.22,-5.57,-4.35
43.52,4.79,-9.45,-2.31
43.59,2.31,-8.39,-2.24
43.66,3.06,-9.45,-3.02
43.73,2.86,-8.63,-3.1
43.81,2.35,-9.34,-2.71
43.88,3.33,-9.49,-4
43.95,2.47,-9.81,-2.2
44.02,3.3,-12.4,-0.94
44.09,4.08,-7.69,-1.29
44.16,3.14,-8.55,-2.86
44.23,1.69,-9.65,-4
44.3,2.79,-7.57,-3.84
44.37,2.63,-7.88,-4
44.45,2.39,-7.73,-4.67
44.52,1.33,-9.3,-5.33
44.59,1.69,-9.85,-5.1
44.66,1.65,-8.71,-7.14
44.73,7.61,-14.67,-1.14
44.8,2.82,-2.28,-5.14
44.87,3.37,-8.36,-3.45
44.94,4.12,-7.65,-3.33
45.01,3.61,-8.9,-2.59
45.08,1.96,-8.24,-2.86
45.15,2.55,-9.49,-3.06
45.23,2.47,-9.02,-3.41
45.3,3.02,-9.61,-2.71
45.37,1.45,-9.49,-3.18
45.44,3.14,-12.87,-1.14
45.51,4.31,-8.16,-0.9
45.58,2.28,-8,-2.98
45.65,2.55,-10.08,-2.67
45.72,3.06,-8.59,-4.08
45.79,2.24,-7.65,-4.08
45.87,2.71,-8.2,-4.71
45.94,2.43,-8.47,-5.06
46.01,2.31,-10.12,-6.24
46.08,0.63,-9.81,-7.02
46.15,5.41,-10.04,-6.9
46.22,7.34,-11.92,-7.26
46.29,2.55,-6.55,-2.28
46.36,3.45,-6.39,-4.75
46.43,4.98,-9.34,-2.08
46.5,2.94,-7.34,-2.28
46.57,3.22,-9.81,-3.45
46.65,2.24,-9.41,-3.49
46.72,2.51,-9.22,-3.1
46.79,2.43,-8.12,-4.79
46.86,0.59,-9.65,-4.16
46.93,0.75,-11.69,-2
47,5.45,-9.06,-2.75
47.07,2.55,-8.16,-4.24
47.14,2,-10.24,-3.77
47.21,3.02,-6.79,-3.88
47.29,2.67,-7.77,-3.88
47.36,1.92,-6.9,-4.47
47.43,1.29,-10.16,-4.94
47.5,1.22,-9.89,-6.08
48.21,3.1,-10.55,-0.08
48.28,6.16,-12.2,-1.41
48.35,1.73,-9.02,-4
48.42,2.71,-8.71,-3.41
48.49,3.33,-6.55,-3.49
48.56,3.26,-8.36,-3.37
48.64,2.2,-8.43,-4.71
48.71,2.39,-10,-4.86
48.78,-0.08,-10.87,-7.1
48.85,4.67,-11.1,-4.24
48.92,6.79,-8.24,-5.96
48.99,2.31,-2.79,-3.1
49.06,4.12,-7.69,-2.59
49.13,3.84,-7.57,-2.2
49.2,2.39,-9.18,-2.12
49.27,2.08,-9.06,-2.94
49.34,2.63,-8.55,-3.57
49.42,2.98,-10.08,-3.61
49.49,3.53,-10.94,-2.12
49.56,5.37,-12.4,-0.31
49.63,1.18,-9.41,-4.39
49.7,3.02,-10.12,-2.28
49.77,2.75,-5.1,-3.37
49.84,3.37,-8.2,-3.69
49.91,2.79,-7.18,-4.82
49.98,0.59,-10.2,-4.39
50.06,1.29,-10.83,-7.69
50.13,4.79,-12.71,-4.31
50.2,6.32,-5.65,-5.65
50.27,5.61,-14.32,0.51
50.34,3.49,-8.36,-2.51
50.41,3.45,-8.83,-2.2
50.48,2.16,-8.75,-2.51
50.55,2.59,-9.18,-3.3
50.62,2.47,-9.3,-2.39
50.69,3.06,-10.16,-2.75
50.76,0.94,-10.04,-3.69
50.84,2.9,-10.47,-1.73
50.91,6.24,-9.85,-1.26
50.98,3.65,-6.67,-3.49
51.05,3.26,-11.34,-2.86
51.12,3.18,-7.41,-3.88
51.19,2.82,-7.88,-3.69
51.26,2.71,-8.2,-4.08
51.33,2.31,-8.47,-4.55
51.4,2.31,-8.87,-5.18
51.48,2.55,-9.69,-5.18
51.55,1.96,-8.79,-6.67
51.62,9.22,-20.01,1.41
51.69,3.37,-1.26,-5.1
51.76,5.06,-9.34,-2
51.83,4.67,-9.65,-2.12
51.9,3.33,-7.69,-1.45
51.97,1.49,-9.61,-3.1
52.04,3.06,-9.06,-3.06
52.11,2.63,-9.18,-3.02
52.18,3.69,-9.89,-2.67
52.26,1.22,-9.57,-2.98
52.33,3.57,-10.67,-2.67
52.4,3.18,-12.43,-2.16
52.47,5.02,-9.34,-4.35
52.54,3.73,-10.83,-3.37
52.61,2.35,-7.53,-3.61
52.68,3.41,-6.9,-3.96
52.75,3.18,-8.28,-4.75
52.82,2.28,-7.85,-5.26
52.9,3.02,-10.12,-4.28
52.97,3.18,-10.28,-7.22
53.04,5.06,-16.08,-3.45
53.11,4.08,-2.08,-5.1
53.18,4.12,-15.89,1.61
53.25,3.88,-7.02,-2.75
53.32,4.28,-10.12,-1.96
53.39,0.94,-8.94,-2.63
53.46,2.47,-9.1,-2.79
55.23,1.61,-11.61,-1.14
55.31,4.24,-8.71,-1.22
56.23,4.28,-9.61,-2.12
56.3,1.1,-8.98,-2.79
56.37,2.71,-9.22,-2.63
56.73,2.39,-13.06,-1.96
56.8,3.14,-7.3,-1.84
56.87,4.35,-7.49,-3.26
56.94,2.71,-11.02,-3.26
57.01,1.96,-7.34,-4.31
57.08,2.55,-7.37,-4.55
57.15,2.16,-7.18,-4.98
57.22,2.31,-9.53,-4.79
57.29,2.47,-10.67,-6.51
57.37,4.75,-12.47,-3.96
57.44,5.18,-5.06,-7.81
57.51,2.55,-10.47,-2.04
57.58,4,-5.65,-4.31
57.65,4.51,-9.61,-1.92
57.72,2.51,-8.63,-2
57.79,1.92,-9.49,-3.37
57.86,2.79,-8.87,-2.9
57.93,1.69,-9.22,-2.08
58,3.06,-8.79,-4.47
58.07,0.59,-9.02,-3.73
58.15,3.26,-12.16,-2.08
58.22,4.2,-9.38,-0.67
58.29,2.98,-9.92,-3.73
58.36,1.37,-8.04,-3.77
58.43,3.06,-7.57,-3.18
58.5,3.26,-8.2,-4.31
58.57,2.55,-7.69,-4.59
58.64,2.12,-8.9,-5.45
58.71,2.2,-9.96,-5.33
58.79,1.8,-8.16,-6.79
58.86,7.49,-20.01,0.51
58.93,2.55,-0.31,-4.16
59,4.16,-10.28,-2.31
59.07,3.69,-8.16,-2.43
59.14,3.06,-8,-1.73
59.21,3.3,-9.92,-2.43
59.28,2.79,-9.18,-2.39
59.35,2.75,-9.26,-2.63
59.42,2.98,-9.57,-2.59
59.49,1.73,-9.45,-3.45
59.57,3.33,-9.65,-4
59.64,3.65,-13.73,-1.84
59.71,4.12,-7.88,-3.41
59.78,3.18,-8.9,-3.06
59.85,2.08,-8.32,-3.8
59.92,3.65,-7.73,-4.24
59.99,2.55,-8,-3.53
60.06,1.77,-7.96,-5.33
60.13,2.75,-8.83,-4.71
60.2,3.3,-7.53,-4.67
60.28,7.14,-4.86,-7.18
60.35,5.22,-10.59,-2.43
60.42,3.18,-8.08,-3.26
60.49,5.53,-8.39,-2.75
60.56,2.67,-8.51,-3.69
60.63,4.39,-9.1,-3.49
