NAME:,walk_1_1,,
12.78,-0.98,-8.47,-5.61
12.85,-0.35,-11.3,-4.16
12.92,3.77,-14.51,-2.2
13,5.14,-14.24,-3.77
13.07,1.92,-7.26,-2.28
13.14,1.53,-5.02,-3.8
13.21,2.59,-4.63,-5.26
13.28,1.65,-9.85,-8.55
13.35,2.94,-14.04,-10.47
13.42,7.26,-20.01,-2.24
13.49,3.14,-3.53,-4.55
13.56,2.28,-7.69,-3.33
13.63,1.14,-7.65,-2.04
13.71,0.75,-8.83,-3.69
13.78,0.04,-8.43,-5.65
13.85,-2.86,-11.3,-5.73
13.92,3.53,-14.32,-3.53
13.99,5.02,-15.18,-3.77
14.06,2.47,-7.77,-1.92
14.13,1.69,-2.98,-4.2
14.2,2.43,-4.79,-5.1
14.27,1.18,-9.81,-8.12
14.35,1.88,-12,-10.4
14.42,6.12,-13.61,-5.06
14.49,3.61,-3.92,-2.71
14.56,2.43,-7.69,-3.57
14.63,1.22,-7.65,-1.73
14.7,0.27,-8.75,-3.3
14.77,0.78,-7.81,-5.77
14.84,-0.75,-11.65,-6.32
14.91,2.2,-13.18,-2.04
14.98,3.3,-14.87,-5.53
15.06,1.26,-7.3,-2.98
15.13,1.61,-1.96,-3.33
15.2,2.86,-6.24,-5.65
15.91,3.88,-12.91,-2.16
15.98,0.94,-11.02,-4.71
16.05,0.24,-7.34,-2.59
16.12,2.16,-1.37,-3.37
16.19,2.67,-7.85,-6.79
16.26,4.31,-12.71,-4.55
16.33,5.1,-12,-3.92
16.4,6.47,-8,-2.94
16.47,5.41,-6.59,-3.77
16.55,1.65,-7.77,-1.53
16.62,-0.82,-8.75,-4.04
16.69,-0.51,-8.79,-4.47
16.76,-0.2,-10.79,-5.26
16.83,5.26,-13.45,-4.75
16.9,6.51,-13.42,-2.94
16.97,0.35,-10.08,-2.67
17.04,1.41,-6.59,-3.77
17.11,0.78,-2.59,-4.28
17.18,1.69,-8.9,-7.65
17.26,5.69,-14.16,-11.26
17.33,9.89,-16.48,-4.31
17.4,4.59,-3.84,-4.2
17.47,5.14,-8.04,-1.69
17.54,1.41,-7.45,-0.43
17.61,-0.31,-9.92,-4
17.68,0.63,-8.32,-6.39
17.75,-2.82,-9.89,-5.33
17.82,4.39,-13.18,-3.02
17.9,6.35,-16.95,-3.8
17.97,1.45,-8.51,-3.3
18.04,1.61,-4.31,-4.59
18.11,2.75,-4.31,-4.51
18.18,1.69,-9.53,-8.36
18.25,4.63,-13.57,-11.61
18.32,5.3,-19.57,-9.45
18.39,3.37,-6.28,-2.28
18.46,1.8,-5.77,-3.61
18.53,1.18,-8.43,-1.8
18.61,-0.24,-9.02,-3.96
18.68,0.55,-8.39,-5.77
18.75,-2.24,-11.14,-6.12
18.82,2.39,-13.26,-3.92
18.89,4.79,-16.28,-4.86
18.96,2.63,-6.24,-2.12
19.03,1.37,-2.43,-4.08
19.1,2.43,-5.06,-5.45
19.17,0.71,-9.65,-7.02
19.24,1.49,-12,-11.65
19.31,8.75,-20.01,-2.75
19.39,3.53,-2.71,-3.49
19.46,3.18,-9.73,-1.65
19.53,1.22,-5.73,-1.18
19.6,-0.94,-9.26,-4.43
19.67,1.33,-9.14,-6
19.74,0.71,-11.3,-4.24
19.81,5.02,-12.79,-2.47
19.88,0.35,-12.79,-6.2
19.95,0.16,-7.02,-2.75
20.02,2.31,-2.39,-3.49
20.1,2.94,-7.41,-7.14
20.17,1.02,-9.65,-4.86
20.24,7.37,-11.1,-9.3
20.31,8.39,-9.73,-3.45
20.38,4.98,-7.34,-2.82
20.45,1.73,-6.63,-2.67
20.52,-0.2,-7.02,-3.22
20.59,0,-8.87,-4.55
20.66,1.96,-8.9,-3.77
20.74,2.75,-11.3,-5.18
20.81,4.94,-14.12,-2.59
20.88,1.33,-9.81,-4.71
20.95,-0.08,-6.94,-3.1
21.02,1.92,-1.77,-3.33
21.09,3.33,-7.06,-6.83
21.16,4.2,-13.02,-3.61
21.94,1.29,-6.16,-4.75
22.01,0.71,-2.43,-3.92
22.08,1.69,-9.02,-6.39
-37.19,4.67,-5.22,51.371.92
23.44,-0.24,-6.71,-1.96
23.51,0.63,-9.18,-4.16
24.51,0.98,-9.06,-3.33
24.58,0.63,-8.75,-4.47
24.93,1.65,-7.69,-3.18
25,2.67,-4,-3.73
25.08,2.9,-9.14,-6
25.15,4.2,-11.02,-5.53
25.22,3.14,-13.1,-7.34
25.29,8.04,-7.88,-7.41
25.36,3.65,-11.65,-2.16
25.43,2.47,-6.9,-3.1
25.5,0.75,-7.77,-2.43
25.57,1.26,-9.22,-3.53
25.64,0.98,-10.12,-4.82
25.71,-1.06,-10.4,-4.2
25.79,2.9,-12.24,-2.63
25.86,2.43,-11.92,-4.55
25.93,3.49,-7.73,-2.04
26,1.41,-5.49,-3.18
26.07,2.94,-7.73,-4.9
26.14,2.51,-7.85,-7.41
26.21,3.26,-13.3,-8.28
26.28,1.61,-10.51,-4.39
26.35,5.49,-6.04,-4.59
26.42,4.47,-11.45,-2.12
26.49,2.75,-7.57,-3.45
26.57,0.9,-8.32,-2.86
26.64,1.57,-9.02,-2.98
26.71,1.88,-10.36,-4.98
26.78,-1.22,-10.2,-5.02
26.85,2.35,-12.12,-3.02
26.92,2.82,-12.94,-4.24
26.99,3.1,-8.47,-2.43
27.06,2.2,-3.77,-2.94
27.13,3.06,-7.02,-4.75
27.2,1.8,-8.94,-8.28
27.28,0.24,-11.3,-10.24
27.35,5.61,-17.93,-4.28
27.42,1.69,-3.88,-4.47
27.49,3.96,-6.98,-4.16
27.56,2.2,-8.36,-2.04
27.63,1.1,-8.83,-3.8
27.7,0.82,-8.83,-4.75
27.77,0.27,-10.94,-3.61
27.84,4.39,-13.38,-1.53
27.92,5.49,-12.83,-3.33
27.99,1.26,-8.98,-2.43
28.06,1.53,-5.92,-3.77
28.13,2.71,-4.28,-3.96
28.2,1.96,-8.2,-7.85
28.27,3.92,-12.94,-5.84
28.34,3.61,-12.91,-4.63
28.41,6.83,-8.2,-4.35
28.48,5.88,-11.38,-2.24
28.55,2.59,-6.79,-2.82
28.63,0.59,-7.61,-3.45
28.7,0.04,-9.73,-4.28
28.77,2.67,-9.18,-4.75
28.84,-0.27,-11.26,-5.84
28.91,0.67,-12.2,-2.63
28.98,3.92,-13.93,-3.06
29.05,3.77,-7.41,-1.84
29.12,1.88,-4,-3.69
29.19,3.14,-5.84,-5.33
29.26,0.67,-8.63,-8.43
29.33,4,-14.71,-9.3
29.41,7.41,-14.04,-6.55
29.48,3.14,-4.94,-4.31
29.55,3.22,-7.69,-3.96
29.62,3.22,-7.96,-2.2
29.69,0.24,-8.08,-3.84
29.76,-0.2,-9.02,-4.55
29.83,1.53,-10.79,-3.02
29.9,4.35,-12.79,-4.82
29.97,3.49,-11.3,-2.75
30.04,1.14,-11.14,-4.2
30.12,0.98,-7.41,-2.79
30.19,1.96,-2.71,-3.45
30.9,-2.16,-10.67,-5.49
30.97,2.39,-13.77,-4
31.04,3.02,-15.18,-3.69
31.96,4.47,-12.94,-2.98
32.03,4.98,-15.02,-3.14
32.96,4.98,-13.3,-4
33.03,4.94,-12.24,-3.1
33.38,4.79,-12.2,-5.06
33.45,4.94,-15.22,-0.08
33.52,5.18,-4.59,-4.24
33.6,6.59,-11.53,-2.63
33.67,1.84,-7.61,-2.51
33.74,1.06,-8.51,-3.41
33.81,-0.43,-8.71,-4.63
33.88,1.73,-10.2,-3.18
33.95,4.9,-13.26,-4.28
34.02,6.04,-11.34,-3.26
34.09,0.55,-9.34,-3.84
34.16,1.33,-8.16,-3.8
34.23,2.31,-4.04,-4.47
34.31,2.04,-7.49,-6.59
34.38,3.49,-11.41,-3.92
34.45,5.22,-13.1,-8.98
34.52,7.73,-8.47,-5.22
34.59,5.02,-9.65,-1.73
34.66,3.41,-7.14,-3.22
34.73,1.14,-6.98,-2.67
34.8,-0.12,-9.14,-3.88
34.87,1.41,-8.9,-5.02
34.94,1.06,-11.41,-4.12
35.02,1.73,-13.06,-2.28
35.09,3.77,-12.75,-4.86
35.16,2.94,-7.45,-2.35
35.23,1.53,-3.37,-3.84
35.3,2.51,-6.35,-5.84
35.37,0.55,-9.34,-7.61
35.44,1.18,-10.16,-12.4
35.51,7.92,-14.2,-7.18
35.58,3.77,-4.51,-3.26
35.65,1.37,-7.69,-3.88
35.72,2.28,-8.08,-2.39
35.8,0.9,-8.12,-3.77
35.87,1.06,-9.1,-5.06
35.94,-2.12,-11.06,-5.73
36.01,3.88,-13.06,-3.33
36.08,5.37,-14.28,-3.06
36.15,2.04,-8.63,-2.59
36.22,1.53,-4.08,-3.77
36.29,3.22,-4.55,-4.43
36.36,1.45,-8.63,-8.47
36.43,4.04,-14.67,-9.77
36.51,7.69,-17.85,-3.96
36.58,3.45,-3.65,-4.9
36.65,3.65,-9.61,-3.84
36.72,2.9,-6.9,-2.04
36.79,0.82,-7.77,-3.53
36.86,-0.12,-9.69,-3.96
36.93,0.35,-10.24,-3.92
37,5.33,-13.34,-3.14
37.07,5.18,-12.04,-3.26
37.14,2.2,-10.16,-3.53
37.22,0.75,-6.75,-3.49
37.29,2.16,-2.75,-3.3
37.36,2.51,-6.86,-6.28
37.43,3.92,-12.12,-5.49
37.5,3.1,-12.24,-3.8
37.57,6.79,-6.59,-3.37
37.64,5.41,-10.4,-2.24
37.71,2.43,-7.02,-2.24
37.78,0.55,-7.53,-2.94
37.85,0.31,-9.18,-4.16
37.93,2.08,-9.73,-3.92
38,0.16,-10.98,-6.32
38.07,0.63,-12.12,-2.98
38.14,0.94,-12.55,-5.06
38.21,2.67,-9.18,-3.92
38.28,1.06,-1.45,-3.53
38.35,3.06,-7.22,-5.37
38.42,3.37,-9.89,-4.9
38.49,2,-8.47,-13.06
38.57,8.16,-9.73,-8
38.64,4.31,-12.32,-2.51
39.42,0.47,-9.77,-7.85
39.49,2.47,-9.65,-10.71
40.41,1.18,-8.63,-8.2
40.48,2.63,-11.77,-10.04
41.33,2.63,-3.14,-4.08
41.4,0.86,-8.28,-7.22
41.48,4.59,-11.89,-4.63
41.9,1.41,-8.32,-3.41
41.97,0.78,-8.79,-5.02
42.04,-0.08,-10.67,-5.69
42.11,1.29,-13.65,-2.08
42.19,3.84,-13.06,-3.02
42.26,3.73,-7.65,-2.31
42.33,1.73,-3.57,-3.73
42.4,2.98,-6.04,-5.26
42.47,0.9,-8.9,-8.67
42.54,3.73,-13.18,-11.89
42.61,7.61,-13.77,-8.36
42.68,2.98,-4.94,-3.18
42.75,2.04,-6.94,-4
42.82,2.16,-7.65,-1.96
42.9,0.86,-9.26,-3.45
42.97,0.67,-8.59,-5.69
43.04,-1.57,-11.06,-5.33
43.11,3.41,-13.57,-4.16
43.18,5.61,-13.02,-3.3
43.25,3.06,-8.16,-1.22
43.32,1.37,-4.71,-4.31
43.39,3.06,-4.75,-4.79
43.46,1.26,-9.1,-8.75
43.53,4.82,-13.02,-10.71
43.61,5.53,-14.71,-6.67
43.68,3.53,-4.98,-4.9
43.75,2.59,-7.88,-4.28
43.82,2.9,-7.73,-2.24
43.89,0.9,-7.96,-3.88
43.96,1.22,-9.14,-4.35
44.03,-1.26,-11.18,-4.75
44.1,3.57,-12.2,-3.73
44.17,5.69,-15.69,-2.9
44.25,2.67,-8.98,-3.33
44.32,0.82,-4.9,-3.53
44.39,2.86,-3.92,-3.49
44.46,2.67,-8.63,-7.96
44.53,2.75,-14.32,-8.94
44.6,3.8,-13.73,-4.08
44.67,4.43,-5.22,-4.12
44.74,2.47,-7.41,-3.73
44.81,2.59,-7.61,-2.43
44.88,0.59,-8.39,-3.69
44.96,-0.04,-9.1,-4.39
45.03,1.33,-10.63,-3.57
45.1,4.79,-13.89,-2.63
45.17,6.08,-13.38,-2.51
45.24,1.37,-9.57,-3.1
45.31,0.71,-6.67,-3.26
45.38,2.67,-3.22,-4.12
45.45,1.88,-8.16,-7.77
45.52,4.08,-13.49,-7.18
45.59,4.63,-14.79,0.39
45.67,3.88,-2.9,-4.55
45.74,4.59,-11.18,-2.86
45.81,3.14,-6.83,-2.59
45.88,0.47,-8.08,-3.49
45.95,-0.55,-9.02,-4.39
46.02,0.94,-11.38,-4.16
46.09,6.79,-13.96,-4.24
46.16,4.67,-12.4,-2.82
46.23,1.06,-10.04,-3.8
46.3,1.77,-6.79,-4
46.38,2.43,-3.41,-3.8
46.45,2.47,-7.85,-7.81
46.52,5.18,-12.59,-5.65
46.59,5.02,-12.87,-1.1
46.66,5.06,-5.65,-4.59
46.73,5.81,-12.16,-1.92
46.8,2,-6.94,-2.43
46.87,0.9,-8.98,-3.84
46.94,-0.12,-8.75,-4.2
47.01,2.47,-10.16,-3.69
47.08,4.39,-11.61,-3.77
47.16,3.73,-12.94,-3.37
47.87,0.67,-8,-3.02
47.94,0.12,-7.41,-4.04
48.01,1.8,-9.18,-4.59
48.08,2.08,-11.22,-3.77
48.15,6.28,-14.55,-2
48.22,1.41,-10.16,-4.04
48.29,-0.9,-8.2,-2.63
48.36,2.35,-1.29,-3.1
48.43,2.35,-8.12,-6.63
48.5,3.96,-10.59,-3.37
48.58,5.14,-6.71,-11.49
48.65,7.77,-11.22,-4.55
48.72,6.43,-11.81,-2.24
48.79,2.55,-6.12,-2.31
48.86,-0.2,-8.16,-3.41
48.93,-0.59,-9.57,-3.61
49,1.96,-8.87,-5.45
49.07,3.14,-13.45,-5.26
49.14,4.9,-12.98,-3.02
49.21,0.39,-11.61,-4.86
49.29,0.47,-7.1,-2.67
49.36,1.92,-2.39,-3.33
49.43,2.28,-7.88,-7.18
49.5,3.96,-11.45,-3.73
49.57,6.79,-10.59,-6.94
49.64,5.81,-5.33,-4.04
49.71,6.75,-11.18,-2.24
49.78,1.61,-7.18,-2.16
49.85,-0.63,-8.04,-3.96
49.93,-0.71,-9.22,-4.24
50,1.33,-10.28,-3.65
50.07,4.63,-12.55,-5.18
50.14,6.04,-14.2,-2.28
50.21,1.18,-9.69,-4.24
50.28,0.63,-6.2,-4
50.35,2.55,-2.39,-3.1
50.42,3.3,-7.45,-6.83
50.49,2.12,-11.61,-6.04
50.56,5.06,-13.38,-4.28
50.64,6.51,-5.3,-3.69
50.71,4.55,-11.3,-2.24
50.78,2.35,-6.39,-3.06
50.85,0.63,-6.24,-2.31
50.92,0.04,-9.1,-4.28
50.99,1.22,-8.87,-5.77
51.06,0.86,-12.32,-4.94
51.13,2.79,-13.81,-1.77
51.2,3.33,-9.85,-4.75
51.27,0.24,-7.37,-2.04
51.35,2.08,-2.59,-3.02
51.42,3.73,-6.51,-5.81
51.49,0.98,-10.47,-6.9
51.56,6.55,-11.22,-13.38
51.63,7.22,-10.16,-6.63
51.7,2.82,-9.1,-3.06
51.77,2.35,-5.77,-3.3
51.84,1.61,-7.61,-2.35
51.91,0.47,-7.73,-3.26
51.98,0.43,-8.9,-4.86
52.06,0.08,-11.49,-3.96
52.13,1.73,-13.18,-2.59
52.2,3.53,-12.83,-4.98
52.27,3.1,-7.53,-2.24
52.34,1.22,-2.71,-3.49
52.41,3.88,-5.57,-6.24
52.48,-0.39,-10.9,-7.1
52.55,-0.12,-8.43,-11.3
52.62,8,-11.96,-8.71
52.69,3.3,-6.94,-3.02
52.76,2.39,-6.51,-3.77
52.84,1.1,-7.45,-1.92
52.91,0.51,-8.75,-3.3
52.98,0.9,-8.12,-6.16
53.05,-0.75,-12.28,-5.49
53.12,1.18,-12.24,-2.75
53.83,0.9,-6.79,-1.92
53.9,-0.24,-8.94,-3.96
53.97,0.55,-9.92,-4.24
54.04,0.04,-11.18,-6.83
54.11,2.43,-13.02,-2.43
54.18,2.28,-14.63,-5.73
54.26,1.1,-6.12,-2.55
54.33,1.84,-2.75,-2.86
54.4,3.18,-7.1,-6.9
54.47,0.24,-9.41,-6.94
54.54,2.08,-7.14,-11.3
54.61,9.22,-12.47,-6.67
54.68,2.9,-6.98,-2.35
54.75,3.18,-6.75,-4.39
54.82,0.08,-6.9,-2.43
54.89,0.35,-7.65,-4.08
54.97,2.28,-9.34,-4.55
55.04,-3.18,-11.69,-5.02
55.11,2.86,-12.63,-2.39
55.18,1.96,-14.67,-6.24
55.25,1.45,-7.69,-2
55.32,2.2,-3.18,-2.55
55.39,3.69,-6.35,-4.67
55.46,2.51,-8.39,-5.53
55.53,-1.22,-10.47,-10.12
55.6,8.75,-16.12,-8.94
55.68,1.45,-5.1,-2.12
55.75,3.06,-6.98,-3.65
55.82,-0.04,-6.2,-1.88
55.89,0.98,-8.98,-3.41
55.96,1.26,-9.34,-5.65
56.03,-2.51,-10.71,-5.26
56.1,1.65,-14.12,-1.8
56.17,4,-13.89,-5.22
56.24,2.82,-8.04,-1.8
56.32,1.45,-2.98,-3.96
56.39,2.24,-6.04,-6.43
56.46,0.35,-10.4,-5.65
56.53,2.75,-8.12,-11.06
56.6,8.24,-10.16,-5.69
56.67,4.35,-12.24,-2.31
56.74,3.22,-6.24,-2.86
56.81,0,-7.1,-1.92
56.88,0.71,-8.71,-4.12
56.95,0.35,-9.65,-4.08
57.03,-1.26,-10.75,-5.69
57.1,2.9,-10.9,-4.43
57.17,2.47,-15.06,-5.92
57.24,2.47,-7.34,-2
57.31,1.73,-3.33,-3.41
57.38,2.63,-8.28,-6.86
57.45,0.82,-8,-0.78
57.52,0.55,-8.75,-10.28
57.59,8.2,-6.35,-3.8
57.66,6.94,-12.55,-1.18
57.74,3.49,-5.84,-2.98
57.81,-0.98,-8.39,-2.9
57.88,0.82,-7.73,-3.45
57.95,2.75,-10.67,-3.26
58.02,4,-14.63,0.08
58.09,5.69,-15.46,-1.22
58.16,-1.14,-8.39,-3.3
58.23,1.65,-7.1,-3.41
58.3,1.92,-2.82,-2.94
58.37,1.8,-8.71,-4.43
58.45,4.35,-10.79,-5.41
58.52,5.26,-16.87,-2.82
58.59,7.73,-3.26,-3.77
58.66,7.69,-15.89,-0.2
58.73,3.06,-5.57,-1.45
58.8,1.29,-8.28,-3.3
58.87,0.24,-8.2,-4.08
58.94,0.55,-9.85,-3.22
59.01,6.32,-13.73,-1.96
59.08,6.2,-14.08,-1.22
59.86,0.59,-8.59,-5.37
59.94,-1.65,-10.28,-5.18
60.01,6.71,-13.38,-1.69
60.08,5.77,-17.57,-3.3
60.15,2.51,-8.28,-2.04
60.22,0.51,-4.94,-4.35
60.29,2.59,-2.55,-3.33
60.36,2.75,-8.94,-8.59
60.43,3.61,-13.53,-6.71
60.5,6.43,-17.81,1.33
60.57,3.77,-2.31,-5.53
60.65,4.12,-11.61,-3.45
60.72,2.86,-6.32,-2.71
60.79,0.82,-7.69,-2.98
60.86,-0.35,-8.16,-4.39
60.93,0.63,-10.36,-4
