Time[sec],ACC X,ACC Y,ACC Z
7.53,0.78,-12.51,-4
7.6,7.53,-14,-2.39
7.67,7.22,-16.32,-0.16
7.74,3.33,-3.14,-2.71
7.81,-0.71,-3.57,-0.31
7.88,8.2,-4.71,-7.06
7.95,-0.04,-12.24,-4.31
8.02,9.53,-13.34,2.94
8.09,6.63,-6.75,-2.43
8.17,5.06,-9.34,0.43
8.24,3.41,-3.69,3.22
8.31,-0.08,-9.49,-1.88
8.38,0.98,-9.41,-5.33
8.45,0.9,-12.4,-4.47
8.52,4.79,-12.83,-0.67
8.59,1.96,-12.28,-0.94
8.66,-0.31,-3.88,-2.43
8.73,2.43,-3.53,-3.45
8.8,0.59,-10.59,-6.63
8.88,5.88,-15.06,-9.77
8.95,8.83,-6.94,0.08
9.02,5.06,-9.89,-1.84
9.09,1.92,-3.77,0.04
9.8,8.55,-9.26,-0.67
9.87,6.12,-5.45,-4.28
9.94,4,-9.14,-0.43
10.01,3.96,-4.71,0.86
10.08,-0.24,-8.75,-1.02
10.15,0.35,-9.49,-3.65
10.22,-0.59,-11.73,-3.8
10.3,4.94,-13.93,0.24
10.37,4.35,-12.71,0.24
10.44,-1.53,-2.79,-0.9
10.51,3.69,-1.37,-3.8
10.58,0.75,-11.92,-7.41
10.65,4.9,-16.55,-8.67
10.72,13.22,-20.01,4.86
10.79,0.98,-2.82,-2
10.86,1.96,-4.86,1.02
10.94,2.86,-8.51,2.35
11.01,-3.02,-5.14,-3.22
11.08,2.47,-12.43,-3.57
11.15,7.18,-12.12,-1.8
11.22,7.49,-13.81,-0.47
11.29,1.96,-7.06,-0.51
11.36,0.08,-3.61,-2.24
11.43,4.79,-3.69,-5.3
11.5,-1.26,-11.61,-6.71
11.57,6.63,-14.75,-8.9
11.65,10.16,-13.85,-7.77
11.72,2.63,-6.94,-3.41
11.79,0.75,-4.59,-1.57
11.86,0.16,-7.96,-0.86
11.93,0.35,-8.32,-4.71
12,-1.06,-14.83,-3.14
12.07,2.12,-15.42,0
12.14,4.08,-15.3,-1.18
12.21,2.08,-2.35,-1.26
12.28,1.57,-1.8,-1.41
12.36,2.39,-10.36,-7.73
12.43,6.79,-19.53,-9.14
12.5,8,-20.01,-5.33
12.57,2.04,-4.67,-1.77
12.64,2.16,-4.08,-2.24
12.71,1.45,-6.43,-0.39
12.78,0.31,-7.85,-1.57
12.85,0.2,-12.36,-1.8
12.92,6.63,-16.24,0.75
12.99,5.06,-19.02,-0.98
13.07,2.79,-2.31,-3.92
13.14,1.61,-2.67,-2.79
13.21,5.02,-4.9,-6.63
13.28,5.37,-13.02,-0.24
13.35,10.4,-9.69,5.65
13.42,5.84,-5.37,-2.51
13.49,6.16,-10,0.24
13.56,2.55,-5.22,0.9
13.63,-0.04,-9.89,-0.67
13.7,-0.16,-7.41,-6
13.77,1.73,-13.93,-2.35
13.85,8.79,-13.53,-2.24
13.92,1.69,-7.02,-0.43
13.99,-0.9,-4.67,-2.82
14.06,2.04,-1.96,-3.18
14.13,2.08,-10.9,-5.84
14.2,1.18,-7.96,-8.94
14.27,13.3,-12,-6.59
14.34,3.45,-6.39,-4.82
14.41,1.37,-4.2,-0.24
14.48,0.82,-8.51,0.08
14.56,-1.41,-7.96,-4.08
14.63,-3.22,-12.24,-2.75
14.7,7.53,-12.67,-0.24
14.77,1.57,-20.01,-0.43
14.84,1.57,-1.84,-2.51
15.83,2.28,-2.04,-2.47
15.9,0.98,-9.89,-7.26
15.98,6.24,-16.32,-10
16.05,9.89,-15.85,-7.1
16.12,2.35,-4.71,-3.14
16.19,2.31,-4.59,-1.61
16.26,0.24,-7.81,0.24
16.33,-0.86,-7.61,-3.45
16.4,0.75,-12.16,-1.61
16.47,8.08,-15.3,0.71
16.54,7.57,-15.77,-1.88
16.62,3.53,-5.45,-1.22
16.69,0.98,-1.53,-1.37
16.76,4.35,-4.28,-5.92
16.83,-1.61,-13.42,-5.33
16.9,7.41,-6.98,-8.43
16.97,10.28,-8.71,1.22
17.04,4.51,-5.33,-3.1
17.11,0.78,-4.79,-0.39
17.18,0.43,-9.02,-0.63
17.25,0.82,-8.55,-5.02
17.33,-4.47,-12.55,-3.1
17.4,2.94,-17.5,2.47
17.47,5.57,-12,-0.04
17.54,0.2,-5.22,-2.71
17.61,0.94,-0.86,-1.02
17.68,4.75,-7.65,-7.61
17.75,6,-19.02,-7.57
17.82,10.63,-9.77,0.08
17.89,1.84,-7.06,-0.82
17.96,1.06,-2.12,-2
18.04,1.65,-8.39,-0.59
18.11,-2.75,-5.92,-2.47
18.18,-0.75,-13.89,-2.59
18.25,7.57,-16.59,-0.63
18.32,4.43,-17.1,-2.31
18.39,0.98,-0.47,-2.94
18.46,0.55,-0.24,-0.24
18.53,4.82,-11.69,-6.08
18.6,2.63,-13.14,-7.3
18.67,13.42,-19.73,3.49
18.75,2.98,-4.16,-2.51
18.82,1.96,-7.18,0.04
18.89,1.41,-5.88,0.43
18.96,-1.37,-8.39,-2.51
19.03,0.24,-10.55,-3.45
19.1,7.3,-12.75,-1.96
19.17,8.79,-16.95,-0.67
19.24,1.73,-7.14,0.59
19.31,0.31,-4.59,-2.39
19.38,2.79,-2.67,-4.55
19.45,-0.63,-11.38,-6.63
19.53,3.1,-7.92,-10.67
19.6,12.59,-11.3,-4.35
19.67,4.79,-11.61,-3.22
19.74,2.35,-4.79,-1.14
19.81,1.37,-5.96,0.2
19.88,-0.86,-7.37,-4.12
19.95,-1.77,-14.12,-2.43
20.02,6.51,-13.81,-0.67
20.09,4.35,-17.97,-2.9
20.17,1.77,-2.86,-1.18
20.24,1.84,-0.39,-2.98
20.31,3.84,-7.49,-6.47
20.38,5.06,-10.79,-0.86
20.45,11.69,-12.63,1.26
20.52,6,-3.26,-5.02
20.59,3.33,-8.83,0.39
20.66,0.94,-4.63,0
20.73,-1.65,-8.51,-1.77
20.81,1.37,-8.47,-3.02
20.88,7.61,-14,1.22
20.95,8.12,-20.01,0.63
21.02,3.57,-7.81,-2.08
21.87,2.24,-7.18,-0.9
21.94,1.37,-6.79,-0.55
22.01,1.92,-1.22,0.75
22.08,4.86,-9.73,-5.73
22.15,2.35,-14.79,-6.63
22.23,10.12,-20.01,-4.59
22.3,1.61,-3.33,-3.3
22.37,1.06,-5.57,-4.2
22.44,0.47,-8.2,-1.65
22.51,1.92,-5.65,-1.37
22.58,0.27,-11.92,-1.73
22.65,5.22,-15.93,2.82
22.72,4.51,-17.65,0.43
22.79,4.63,-7.14,-2.51
22.87,0.27,-4.59,-2.12
22.94,4.51,-4.51,-2.55
23.01,2.63,-11.85,-1.61
23.08,2.9,-5.49,-8.9
23.15,10,-8.32,-1.26
23.22,5.26,-15.57,-0.12
23.29,3.37,-4.71,-1.41
23.36,1.84,-5.96,-0.55
23.43,2.35,-8.39,-2.71
23.5,-1.37,-13.69,-1.57
23.57,5.61,-14.59,-1.41
23.65,1.65,-12,-2.24
23.72,3.84,-3.84,-1.61
23.79,2.9,-1.22,-0.47
23.86,3.61,-8.87,-6.24
23.93,3.73,-14.59,-4.24
24,7.41,-13.34,1.45
24.07,6.32,-4.63,-2.55
24.14,5.61,-10.67,-0.67
24.21,3.57,-5.33,2.51
24.29,1.8,-7.69,-1.02
24.36,1.26,-10.4,-4.16
24.43,2.82,-14.91,-1.14
24.5,5.88,-13.85,-1.84
24.57,4.35,-8.04,-1.18
24.64,1.22,-4.12,-2.24
24.71,4.39,-3.49,-2.98
24.78,2.04,-10.47,-6.04
24.85,1.06,-10.43,-7.73
24.92,9.18,-13.18,-6.08
24.99,3.49,-6.71,-4.79
25.07,0.78,-5.61,-1.29
25.14,0.04,-6.12,0.71
25.21,-0.43,-8,-5.45
25.28,-1.26,-13.45,-0.43
25.35,6.55,-10.4,-1.37
25.42,2.67,-10.59,-0.98
25.49,1.06,-4.08,-4.59
25.56,0.9,-1.92,-3.92
25.63,2.94,-7.26,-5.45
25.7,4.79,-16.2,-7.18
25.78,8.83,-20.01,-0.2
25.85,4.79,-1.69,-5.92
25.92,3.06,-10.24,-1.14
25.99,1.96,-4.98,0.35
26.06,1.88,-7.92,0.12
26.13,0.82,-10.16,-2.31
26.2,8.32,-14.59,-0.71
26.27,6.12,-14.91,-1.02
26.34,4.12,-7.3,-1.84
26.42,1.18,-2.79,-3.84
26.49,2.71,-1.8,-4.75
26.56,0.43,-11.45,-6.94
26.63,3.8,-13.45,-7.26
26.7,9.45,-11.77,-2.67
26.77,5.26,-9.38,-1.06
26.84,0.63,-5.33,-1.41
26.91,1.14,-6.86,0.75
26.98,0.24,-8.63,-3.22
27.05,-1.57,-13.77,-2.28
27.76,1.41,-6.71,-1.14
27.84,-0.35,-7.26,-0.04
27.91,0.94,-9.26,-4.08
27.98,-2.24,-12.12,-3.41
28.05,4.79,-14.51,0.2
28.12,5.65,-20.01,-0.78
28.19,1.02,-2.39,-1.8
28.26,1.88,-0.39,-1.96
28.33,5.49,-5.73,-7.69
28.4,0.94,-13.26,-2.71
28.47,10,-5.88,4.71
28.54,6.98,-4.98,-1.18
28.62,2.59,-9.1,-0.9
28.69,1.45,-6.55,0.9
28.76,0.35,-8.32,-0.67
28.83,-0.51,-9.06,-4.24
28.9,-1.1,-12.98,-3.18
28.97,6.12,-13.49,-0.86
29.04,1.1,-12,-0.27
29.11,0.43,-3.77,-2.04
29.18,1.53,-1.45,-3.06
29.26,-0.47,-10.9,-7.3
29.33,7.61,-14.44,-9.57
29.4,11.3,-20.01,-3.96
29.47,1.92,-1.84,-3.96
29.54,2.9,-5.49,-0.9
29.61,0.63,-7.22,0.2
29.68,-0.04,-7.81,-3.41
29.75,0.16,-12.28,-1.65
29.82,10.04,-13.1,-0.86
29.89,5.73,-19.1,-0.27
29.96,3.53,-4.12,-2
30.04,1.02,-2.55,-2.94
30.11,4.28,-4.94,-6.35
30.18,0.75,-12.87,-3.49
30.25,10.71,-13.14,-2.35
30.32,6.43,-5.3,-5.22
30.39,4.9,-10.83,-0.94
30.46,2.47,-4.39,-0.12
30.53,0.04,-8.36,-1.37
30.6,0.39,-9.14,-4.98
30.68,-1.65,-13.73,-2.63
30.75,5.61,-13.49,-0.63
30.82,2.31,-13.38,-2.12
30.89,1.14,-2.98,-1.45
30.96,1.8,-2.75,-3.53
31.03,1.65,-9.96,-6.47
31.1,4.94,-18.44,-6.51
31.17,11.18,-16.59,-1.73
31.24,3.84,-3.61,-2.43
31.31,1.8,-6.86,-1.14
31.38,3.45,-6.47,1.1
31.46,1.22,-7.92,-1.88
31.53,2.2,-11.89,-2.16
31.6,8.47,-14.04,-1.29
31.67,7.14,-15.85,-0.39
31.74,3.37,-5.18,-0.12
31.81,1.33,-3.14,-1.49
31.88,4.08,-3.84,-6.12
31.95,0.51,-14.67,-4.86
32.02,5.53,-5.53,-10.32
32.09,11.53,-12.16,-2.98
32.17,4.51,-9.89,-2.98
32.24,1.84,-5.92,-0.47
32.31,0.16,-7.77,-1.1
32.38,0.24,-7.96,-3.8
32.45,-3.77,-13.73,-3.06
32.52,6.12,-13.49,-0.59
32.59,4.9,-18.99,-0.51
32.66,1.33,-3.1,-2.47
32.73,0.71,-1.65,-1.65
32.81,4.75,-7.3,-6.63
32.88,2.51,-14.59,-3.33
32.95,11.96,-11.85,1.33
33.02,4.63,-5.96,-4.16
33.09,3.77,-8.04,-0.51
33.8,4.79,-15.49,-11.1
33.87,9.73,-19.61,-9.34
33.94,1.96,-3.02,-2.47
34.01,1.73,-5.41,-1.61
34.08,0.27,-6.94,-1.02
34.15,0.82,-7.37,-2.12
34.23,1.45,-12.4,-2.98
34.3,6.94,-15.02,1.26
34.37,6.24,-17.1,-0.27
34.44,3.1,-3.69,-1.65
34.51,1.77,-3.02,-2.2
34.58,3.14,-3.53,-6.04
34.65,1.37,-14.75,-2.86
34.72,8.28,-5.96,-6.08
34.79,8.2,-8.04,-2.43
34.86,4.55,-8.59,-2.79
34.93,3.1,-4.67,0.31
35.01,-0.16,-8.79,-0.55
35.08,1.06,-8.83,-3.33
35.15,-2.98,-14,-4.63
35.22,2.79,-11.77,0.16
35.29,2.82,-16.95,-1.14
35.36,2.51,-2.04,-0.67
35.43,1.37,-0.98,-2.67
35.5,4.63,-7.18,-6.24
35.57,4.12,-14.98,-4.98
35.65,14,-20.01,1.45
35.72,1.96,-2.98,-4.79
35.79,2.9,-6.28,-1.29
35.86,2.51,-7.53,1.26
35.93,1.45,-7.92,-1.61
36,0.78,-9.85,-3.14
36.07,6.16,-12.75,-1.14
36.14,7.45,-16.83,0.12
36.21,3.61,-6.04,1.57
36.28,-0.27,-3.53,-3.37
36.35,1.73,-1.96,-2.98
36.43,-0.24,-11.89,-6.39
36.5,4.28,-11.89,-10.98
36.57,10.55,-15.06,-4.75
36.64,2.86,-5.33,-2.67
36.71,1.37,-5.57,-1.65
36.78,0.71,-7.3,0.24
36.85,0.63,-9.06,-2.79
36.92,0.12,-12.36,-1.84
36.99,7.65,-14.83,-0.86
37.07,6.59,-18.12,-1.22
37.14,3.33,-5.33,-3.18
37.21,1.1,-2.51,-2.55
37.28,3.8,-2.98,-6.39
37.35,0,-14.4,-1.73
37.42,8.87,-9.85,-4.94
37.49,7.14,-5.81,-2.9
37.56,4.94,-10.24,0.43
37.63,2.12,-5.33,-1.22
37.7,0.12,-8.59,-1.22
37.78,0.12,-8.43,-4.2
37.85,-2.28,-13.81,-4.35
37.92,3.53,-13.45,-0.27
37.99,4.28,-18.95,-1.1
38.06,1.57,-4.12,-0.98
38.13,1.49,-1.1,-2.75
38.2,4.98,-6,-6.47
38.27,1.18,-14.67,-2.86
38.34,9.06,-12.12,1.57
38.41,4.94,-4.47,-4.16
38.48,4.9,-10.04,0.31
38.56,3.73,-5.96,-0.31
38.63,1.69,-9.53,-0.82
38.7,0.9,-8.87,-3.92
38.77,-1.26,-12.32,-4.75
38.84,3.02,-13.34,0.04
38.91,4.04,-12.55,-0.04
38.98,0.43,-4.08,-1.69
40.22,8.28,-11.81,-1.57
40.29,3.22,-5.61,-2.43
42.21,2.9,-5.69,-0.98
42.28,0.75,-8.24,-1.41
42.35,1.61,-8.08,-3.53
42.42,-4.12,-13.49,-3.65
42.49,4.2,-13.53,-1.33
42.57,4,-17.46,1.49
42.64,2.82,-1.61,-0.98
42.71,1.88,-1.29,-2.35
42.78,2.9,-9.89,-7.06
42.85,5.41,-9.96,-0.71
42.92,6.75,-13.34,1.18
42.99,6.83,-6.67,-3.41
43.06,5.57,-10.08,-1.65
43.13,3.22,-6.2,0.43
43.2,0.9,-8.94,-0.31
43.28,1.8,-6.51,-5.53
43.35,-1.29,-13.49,-4.12
43.42,5.14,-13.49,-0.27
43.49,1.73,-13.65,-2.71
43.56,0.82,-3.69,-0.39
43.63,2.63,-2.24,-2.04
43.7,0.75,-10.59,-6.98
43.77,5.14,-14.95,-5.69
43.84,13.26,-20.01,1.57
43.92,2.94,-3.88,-4.24
43.99,2.43,-4.63,-2.35
44.06,2.67,-6.75,0.82
44.13,0.51,-7.92,-0.98
44.2,-0.04,-10.2,-4.63
44.27,6.55,-12.83,-0.43
44.34,7.02,-13.18,0.31
44.41,2.08,-5.02,0.78
44.48,1.1,-4.31,-2.94
44.55,3.26,-3.02,-4.75
44.62,-2.39,-11.85,-6.43
44.7,3.41,-11.02,-11.26
44.77,8.55,-15.38,-5.3
44.84,3.02,-3.3,-2.94
44.91,1.96,-6,-1.65
44.98,1.18,-7.02,-0.47
45.05,0.39,-7.65,-2.39
45.12,2.12,-10.71,-4.39
45.19,4.9,-13.57,-1.1
45.26,7.73,-12.83,-0.08
45.34,2.94,-6.94,-0.82
45.41,-0.55,-4.98,-2.71
45.48,2.86,-2.04,-3.77
45.55,-1.18,-12.24,-8.04
45.62,7.77,-16.67,-9.41
45.69,7.81,-9.73,-0.9
45.76,3.77,-10.12,0.04
45.83,2.04,-4.55,-1.18
45.9,1.06,-6.35,-1.06
45.97,-0.51,-7.22,-2.79
46.04,2.86,-12.08,-1.88
46.12,7.53,-12.47,-1.41
46.19,5.06,-17.77,0.9
46.26,2.71,-5.14,-3.61
46.33,0.47,-3.53,-2.82
46.4,2.86,-3.49,-4.08
46.47,-1.45,-11.41,-6.32
46.54,1.37,-10.2,-9.77
46.61,11.14,-14.44,-4.39
46.68,3.53,-6.75,-3.73
46.76,1.57,-4.08,-0.59
46.83,1.65,-8,-0.39
46.9,0.04,-7.57,-3.33
46.97,-0.98,-12.24,-2.35
47.04,3.45,-18.4,-0.31
47.11,0.75,-10.16,-2.71
47.18,2.43,-7.45,-1.61
47.25,0.94,0.43,-1.29
47.32,3.84,-8.71,-7.18
47.39,3.65,-11.77,-6.43
47.46,9.65,-19.18,1.77
47.68,5.18,-4.82,1.02
47.75,2,-8.63,-1.33
47.82,0.55,-9.26,-4.04
47.89,2.47,-10.87,-1.29
47.96,6.79,-16.95,0.63
48.03,2.35,-7.1,-1.41
48.1,-0.63,-5.06,-3.26
48.18,2.12,-3.26,-2.28
48.25,0.98,-11.18,-6.9
48.32,1.84,-10.63,-7.1
48.39,10.16,-12.28,-7.37
48.46,3.73,-3.33,-2.94
48.53,0.98,-4.86,-2.2
48.6,1.22,-7.92,-1.1
48.67,-0.27,-7.02,-2.63
48.74,1.18,-12.51,-1.45
48.81,6.98,-14.2,1.65
48.88,6.28,-16.87,-1.14
48.96,3.49,-4.82,-0.71
49.03,0.94,-3.53,-2.43
49.1,3.57,-3.69,-5.53
49.17,0,-12.94,-5.22
49.24,8.16,-5.88,-7.22
49.31,10.08,-7.14,-1.65
49.38,4.86,-11.45,1.69
49.45,2.12,-4.79,-0.31
49.52,0.98,-7.96,-1.77
49.59,0.04,-7.61,-4
49.67,-1.73,-14.28,-2.16
49.74,7.41,-11.65,0.24
49.81,3.57,-18.08,-1.69
49.88,2.47,-1.77,-2.24
49.95,2.04,-2.75,-2.51
50.02,2.86,-5.96,-7.45
50.09,2,-12.4,0.75
50.16,11.02,-12.91,3.14
50.23,6.12,-3.65,-4.55
50.31,7.3,-12.2,0.47
50.38,2.63,-4.63,0.9
50.45,2.55,-9.69,-1.22
50.52,-0.55,-8.12,-3.73
50.59,-1.65,-13.18,-3.18
50.66,7.14,-12.51,-2.71
50.73,3.84,-15.18,-1.45
50.8,0.35,-4.08,-1.37
50.87,1.61,-1.65,-2.63
50.94,2.08,-9.92,-6.16
51.01,3.06,-16.44,-4.82
51.09,11.65,-17.1,-3.02
51.16,4.86,-5.57,-3.73
51.23,4.63,-12.91,1.49
51.3,0.12,-4.82,-1.61
51.37,0.51,-8.39,-2.94
51.44,1.53,-10.9,-2.63
51.51,0.43,-10.59,-1.1
51.58,5.1,-12.16,-0.2
51.65,0.67,-9.61,0.31
51.73,1.45,-5.37,-1.61
51.8,3.49,-4,-1.77
51.87,0.98,-10.47,-6
51.94,4.9,-16.32,-8.55
52.01,10.55,-20.01,8.75
52.08,0.78,-1.29,-3.41
52.15,3.8,-8.39,-2.31
52.22,1.29,-8.04,-1.1
52.29,-1.61,-7.22,-3.49
52.36,3.65,-11.41,-1.73
52.43,7.49,-12.51,0.24
52.51,4.79,-15.61,0.51
52.58,3.41,-5.3,-0.27
52.65,1.57,-4.24,-2.82
52.72,3.37,-2.86,-5.22
52.79,0.24,-13.38,-5.92
52.86,3.33,-8.04,-9.06
52.93,10.16,-12.91,-6.04
53.64,4.39,-5.33,-6.24
53.71,1.45,-12,-0.86
53.78,10.28,-13.3,2.98
53.85,5.1,-4.94,-3.57
53.93,6.08,-10.67,0.78
54,2.63,-5.1,1.1
54.07,1.37,-8.71,-0.47
54.14,1.84,-7.57,-5.49
54.21,-2.16,-13.14,-3.88
54.28,6.94,-13.1,-2.55
54.35,2.08,-17.81,-1.49
54.42,0.35,-4.71,-1.69
54.49,2.43,-0.16,-2.59
54.57,2.47,-8.9,-6.47
54.64,4.31,-16,-8.63
54.71,15.26,-20.01,-2.9
54.78,4.35,-2.12,-5.88
54.85,4.16,-11.22,1.88
54.92,1.84,-5.53,-0.59
54.99,0.43,-8.24,-1.96
55.06,0.08,-9.65,-5.3
55.13,-0.9,-12.71,-3.73
55.2,5.96,-10.87,-1.37
55.28,1.77,-16.08,-0.39
55.35,0.39,-4.28,-3.18
55.42,2.24,-2.63,-3.1
55.49,2.08,-10.28,-6.83
55.56,3.14,-18.12,-6.12
55.63,10.98,-20.01,0.9
55.7,2.98,-2.39,-4.86
55.77,3.96,-9.02,-0.82
55.84,3.1,-5.41,-0.12
55.91,0.82,-8.16,-1.92
55.98,0.67,-9.65,-3.96
56.06,1.1,-12.63,-3.18
56.13,3.96,-11.34,-0.47
56.2,2.51,-14.32,-1.37
56.27,1.02,-4.59,-1.06
56.34,2.24,-2,-2.79
56.41,1.88,-9.45,-6.79
56.48,4.24,-15.61,-4.31
56.55,9.73,-20.01,-2.28
56.62,3.02,-2.9,-3.26
56.7,3.61,-7.45,-1.53
56.77,3.41,-6.08,0.75
56.84,-0.67,-8.28,-1.96
56.91,1.22,-10.55,-4.31
56.98,2.2,-11.65,-2.08
57.05,5.84,-11.22,-1.8
57.12,1.88,-11.77,-0.24
57.19,1.02,-5.22,-2.43
57.26,1.96,-2.35,-4.9
57.33,-0.78,-11.77,-5.84
57.4,6.79,-17.38,-8.51
57.48,8.83,-11.77,-8.67
57.55,2.67,-6.59,-2.39
57.62,2.35,-5.65,-2
57.69,0.98,-7.18,0.04
57.76,0.67,-9.18,-2.08
57.83,1.45,-11.53,-2.79
57.9,6.71,-14.63,-2.2
57.97,6.04,-12,-1.29
58.04,2,-7.69,-0.98
58.12,0.55,-4.9,-2.82
58.19,3.45,-2.24,-5.61
58.26,-1.88,-11.65,-7.53
58.33,4.31,-14.28,-9.65
58.4,8.67,-13.93,-2.9
58.47,4.94,-4.71,-1.96
58.54,1.8,-6.75,-1.49
58.61,1.22,-7.69,-0.08
58.68,-0.27,-8.24,-2.71
58.75,0.75,-12.16,-1.77
58.82,6.98,-12.43,-1.73
58.9,6.24,-13.53,-0.9
59.68,1.33,-9.61,-2.51
59.75,6.59,-12.91,0.67
59.82,8.04,-12.94,-0.82
59.89,0.98,-9.06,-2.35
59.96,-0.35,-5.14,-3.45
60.03,3.45,-1.92,-5.77
60.1,0.2,-12.28,-7.3
60.17,4.79,-18.08,-8.36
60.24,8.55,-11.77,-6.35
60.32,2.67,-3.69,-3.06
60.39,1.84,-6.67,-2.98
60.46,0.94,-7.45,-0.9
60.53,-0.24,-8.43,-3.88
60.6,2.71,-10.08,-0.43
60.67,12.59,-6.24,-0.86
60.74,7.73,-16.48,0.63
60.81,2.79,-7.96,-4.24
60.88,0.94,-5.41,-1.45
