Time[sec],ACC X,ACC Y,ACC Z
5.89,-0.47,-8.94,-2.12
5.96,-0.47,-8.32,-4.71
6.03,0.39,-9.96,-3.53
6.11,-4.98,-11.02,-8
6.18,-4.47,-12.08,-3.77
6.25,1.18,-6.32,-4.08
6.32,-0.63,-8.79,-3.69
6.39,1.41,-6.75,-3.53
6.46,-1.73,-8.16,-4.59
6.53,-0.78,-12.12,-6.71
6.6,-7.53,-11.61,-3.02
6.67,0.78,-10.32,-4.98
6.74,-5.02,-6.16,-5.61
6.82,-1.41,-7.1,-2.82
6.89,-1.02,-8.08,-2.55
6.96,-1.49,-7.73,-3.73
7.03,1.96,-9.85,-2.63
7.1,-5.96,-13.34,-8.75
7.17,-4.12,-12.12,-8.04
7.24,0.71,-9.02,-2.16
7.31,-0.78,-7.22,-3.84
8.02,1.96,-10.24,-3.61
8.09,-5.02,-12.12,-9.34
8.17,-8.08,-12.08,-1.41
8.24,2.9,-8.63,-5.02
8.31,-0.24,-8.71,-3.49
8.38,1.45,-6.71,-4.2
8.45,0.43,-8.2,-3.06
8.52,-3.02,-9.57,-4.16
8.59,-5.77,-18.79,-4.31
8.66,1.96,-8.63,-6.47
8.73,-5.02,-6.2,-5.88
8.8,-1.92,-6.28,-2.94
8.87,-1.45,-8.51,-3.49
8.95,-0.59,-7.77,-4.16
9.02,1.57,-9.89,-2.94
9.09,-4.82,-11.26,-9.85
9.16,-8.36,-9.34,-4.43
9.23,1.77,-10.08,-4.59
9.3,0.04,-7.18,-3.77
9.37,1.45,-6.59,-3.37
9.44,0.63,-7.53,-3.45
9.51,-3.18,-10.75,-2.39
9.59,-2.67,-15.81,-7.45
9.66,0.2,-4.59,-8.24
9.73,-4.43,-9.14,-3.49
9.8,-2.82,-6.2,-4.39
9.87,-0.98,-9.02,-3.14
9.94,-0.35,-8.36,-3.3
10.01,-0.04,-8.79,-3.61
10.08,-0.9,-10.51,-5.65
10.15,-8.2,-8.04,-4.75
10.22,-0.63,-10.83,-4.51
10.3,0.67,-6.04,-3.8
10.37,0.08,-8.47,-3.96
10.44,2.16,-6.59,-3.73
10.51,-3.22,-9.18,-4.55
10.58,-1.53,-14.63,-4.86
10.65,-3.61,-5.02,-5.88
10.72,-2.47,-12.55,-3.69
10.79,-3.06,-5.92,-4.67
10.86,-1.84,-7.41,-2.98
10.93,-0.35,-9.34,-2.2
11,0.71,-7.73,-4.28
11.08,0.24,-9.81,-6.12
11.15,-5.92,-10.94,-6.55
11.22,-3.69,-11.41,-4.71
11.29,1.02,-7.45,-2.86
11.36,-0.43,-8.79,-4
11.43,2,-6.51,-4.43
11.5,-1.18,-8.08,-5.37
11.57,-3.14,-12.71,-6.59
11.64,-2.31,-3.61,-5.84
11.71,-3.96,-17.57,-1.37
11.79,-3.37,-6.59,-6.94
11.86,-2.43,-6.51,-2.9
11.93,-0.78,-8.55,-2.51
12,-0.08,-7.73,-4.31
12.07,1.57,-10.47,-3.73
12.14,-4.86,-12.12,-8.63
12.21,-7.26,-10.43,-6.94
12.28,1.33,-10.08,-2.47
12.35,0,-6.94,-4.47
12.43,1.14,-6.67,-3.02
12.5,0.63,-7.61,-4.08
12.57,-2.63,-9.81,-3.69
12.64,-3.8,-15.53,-7.06
12.71,1.26,-5.57,-9.26
12.78,-5.33,-8.08,-3.73
12.85,-2,-6.39,-3.14
12.92,-1.53,-8.39,-3.88
12.99,-0.43,-8.39,-2.43
13.06,0.16,-8.55,-3.53
13.14,-0.24,-10.59,-5.77
13.21,-9.41,-10.32,-2.86
13.28,0.39,-11.1,-6.63
14.06,0.43,-7.73,-4.2
14.13,0.24,-9.96,-4.28
14.2,-4.31,-11.22,-7.88
14.27,-5.92,-10.59,-6.04
14.34,0.94,-12.04,-1.57
14.41,1.29,-7.49,-4.31
14.48,1.8,-6.04,-2.79
14.55,0.08,-7.1,-4.16
14.63,-2.51,-9.96,-6.2
14.7,-5.69,-12.08,-1.69
14.77,-0.71,-14.12,-1.22
14.84,-3.77,-4.63,-7.88
14.91,-2.04,-7.06,-1.8
14.98,-0.12,-9.26,-3.33
15.05,-0.31,-7.85,-4.08
15.12,0.67,-9.61,-3.45
15.19,-1.88,-10.63,-8.87
15.27,-9.73,-9.49,-1.49
15.34,2.24,-11.1,-5.77
15.41,0,-7.81,-2.67
15.48,2.47,-6.63,-3.1
15.55,1.84,-6.83,-3.69
15.62,-4.04,-10.59,-3.49
15.69,-4.28,-17.34,-6.71
15.76,3.18,-5.02,-9.57
15.83,-5.77,-8.28,-4.12
15.9,-2.94,-6.83,-2.9
15.97,-1.26,-8.36,-3.33
16.05,-0.31,-8.39,-2.71
16.12,0.35,-8.04,-3.92
16.19,0.94,-9.73,-3.45
16.26,-6.83,-12.16,-10.36
16.33,-6.83,-12.83,-4.63
16.4,2.31,-9.53,-2.35
16.47,-0.59,-7.53,-3.57
16.54,2.16,-6.12,-3.1
16.61,-0.98,-7.73,-3.61
16.68,-2.2,-10.24,-3.8
16.76,-7.06,-18.32,-6.08
16.83,3.06,-9.41,-8.04
16.9,-5.14,-5.41,-6.2
16.97,-2.47,-6.43,-2.79
17.04,-0.82,-8.94,-3.41
17.11,-0.31,-8.04,-3.57
17.18,0.55,-8.75,-4.12
17.25,-1.49,-10.98,-10.55
17.32,-11.81,-9.41,-2.08
17.4,1.84,-10.4,-6.12
17.47,-0.08,-7.1,-3.61
17.54,2.63,-6.59,-3.53
17.61,1.06,-6.86,-3.69
17.68,-3.84,-11.57,-2.47
17.75,-0.51,-16.2,-8.04
17.82,-1.53,-4.9,-7.02
17.89,-3.49,-8.63,-4.2
17.96,-2.47,-6.67,-3.92
18.03,-1.02,-7.45,-3.84
18.11,-0.75,-8.43,-3.06
18.18,0.78,-8.55,-4.28
18.25,0.43,-10.79,-5.77
18.32,-8.43,-9.26,-3.14
18.39,0.27,-12.12,-6.83
18.46,0,-7.92,-2.63
18.53,1.65,-6.04,-3.96
18.6,1.73,-6.2,-4.08
18.67,-3.26,-10.87,-3.65
18.74,-1.57,-15.69,-6.43
18.81,-0.39,-2.9,-8.16
18.89,-5.57,-13.14,-2.28
18.96,-2.43,-6.2,-4.63
19.03,-2.28,-7.14,-3.61
19.1,-0.43,-8.55,-3.1
19.17,0.47,-8.12,-4.79
20.02,-3.02,-6.35,-2.86
20.09,-0.78,-9.06,-2.79
20.16,0.24,-7.88,-4.63
20.24,0.98,-10.08,-2.75
20.31,-2.31,-11.02,-9.81
20.38,-9.85,-9.92,-6.08
20.45,2.82,-11.89,-3.14
20.52,-0.67,-6.79,-3.88
20.59,1.77,-5.88,-3.1
20.66,0.27,-6.39,-3.73
20.73,-2.28,-10.4,-3.65
20.8,-4.08,-17.81,-7.49
20.87,2.98,-1.41,-10.32
20.94,-7.26,-10.87,-2.08
21.02,-1.88,-5.1,-4.67
21.09,-1.8,-7.96,-3.18
21.16,-0.59,-8.39,-3.22
21.23,-0.08,-8.43,-4.12
21.3,0.78,-11.49,-4.04
21.37,-9.45,-10.32,-4.2
21.44,-1.69,-11.69,-6.43
21.51,-2.04,-7.26,-2.9
21.58,1.57,-6.04,-4.86
21.65,1.61,-6.59,-3.53
21.73,-2.35,-9.06,-5.02
21.8,-0.43,-12.51,-7.81
21.87,-8.12,-11.85,-0.47
21.94,0.24,-13.73,-5.73
22.01,-3.96,-5.14,-6.43
22.08,-2.63,-6.67,-2.51
22.15,0.04,-9.41,-3.37
22.22,-0.04,-8.04,-4.9
22.29,0.67,-9.77,-3.69
22.37,-2.94,-10.63,-10.24
22.44,-10.12,-9.53,-4.16
22.51,2.04,-11.06,-4.08
22.58,-0.35,-6.86,-3.57
22.65,2.16,-5.92,-3.45
22.72,0.63,-7.37,-4.31
22.79,-3.69,-11.69,-1.84
22.86,-0.39,-15.65,-7.18
22.93,1.8,-4.39,-8.24
23,-6.12,-7.69,-4.31
23.08,-2.71,-6.75,-3.73
23.15,-1.53,-6.9,-4
23.22,-0.27,-8.59,-3.02
23.29,1.02,-8.75,-3.96
23.36,0.39,-9.89,-4.98
23.43,-8.04,-10.94,-5.49
23.5,0.04,-12.24,-6.86
23.57,-1.02,-7.26,-1.84
23.64,1.26,-6.63,-4.31
23.71,1.49,-5.88,-3.69
23.78,-2.08,-7.88,-5.33
23.86,-0.39,-12.83,-6
23.93,-5.06,-5.06,-5.22
24,-2.43,-14.59,-2.63
24.07,-3.96,-5.3,-6.9
24.14,-2.04,-6.59,-2.79
24.21,0.43,-9.53,-2.75
24.28,0.2,-7.61,-4.94
24.35,0.63,-9.73,-3.65
24.42,-4.51,-11.45,-9.73
24.49,-7.61,-10.98,-6.39
24.57,2.51,-11.45,-3.18
24.64,-0.63,-6.94,-4.08
24.71,2.16,-6.24,-3.37
24.78,-0.86,-7.3,-3.84
24.85,-3.1,-10.12,-3.06
24.92,-4.47,-18.83,-6.71
24.99,2.67,-5.84,-9.73
25.06,-4.35,-5.96,-7.06
25.13,-3.02,-6.98,-2.08
25.21,-1.77,-7.92,-3.84
25.28,-0.9,-8.12,-3.06
25.99,-1.8,-15.34,-8.79
26.06,0.67,-0.12,-10.24
26.13,-8.36,-14.47,-0.35
26.2,-2.94,-6.12,-5.33
26.27,-1.92,-8.36,-3.69
26.34,-0.31,-8.43,-3.49
26.41,-0.86,-8.24,-3.45
26.48,1.26,-8.63,-3.53
26.55,-3.49,-13.77,-8.39
26.62,-8,-11.22,-8.59
26.7,0,-8.63,-4.55
26.77,0.78,-5.33,-3.92
26.84,1.29,-7.22,-4.2
26.91,1.49,-8.67,-4.43
26.98,-2.04,-10.9,-4.86
27.05,0.04,-15.02,-10.75
27.12,-2.82,0.35,-7.61
27.19,-4.12,-12.67,-4.43
27.26,-2.43,-5.81,-5.84
27.34,-1.1,-9.38,-3.33
27.41,-0.12,-9.22,-3.1
27.48,-1.53,-8.08,-4.24
27.55,0.35,-10.12,-3.84
27.62,-4.04,-11.49,-10.51
27.69,-7.77,-11.49,-5.61
27.76,0.27,-8.51,-3.96
27.83,0.08,-5.81,-4.67
27.9,1.69,-5.77,-4.67
27.97,0.86,-8.67,-4.12
28.05,-2.47,-11.14,-3.49
28.12,-6.67,-20.01,-9.61
28.19,2.63,-0.43,-9.81
28.26,-6.51,-11.38,-3.88
28.33,-1.96,-6,-5.69
28.4,-0.63,-9.57,-4
28.47,-0.2,-8.59,-3.65
28.54,-1.45,-7.85,-4.71
28.61,0.94,-11.02,-6.28
28.68,-8.87,-11.14,-4.08
28.75,-3.49,-8.83,-6.55
28.83,-1.02,-10.12,-2.12
28.9,0.98,-5.81,-5.37
28.97,1.96,-6.79,-3.88
29.04,0.16,-9.73,-5.41
29.11,-1.84,-11.65,-6.75
29.18,-6.98,-15.3,-5.26
29.25,0.71,-4.55,-6.2
29.32,-3.84,-6.47,-4.59
29.39,-2.08,-7.73,-3.77
29.46,-0.71,-9.26,-3.14
29.54,-0.82,-7.88,-4.2
29.61,-0.9,-9.02,-3.96
29.68,-0.94,-11.92,-9.96
29.75,-9.81,-7.92,-6.35
29.82,1.02,-10.2,-5.33
29.89,-0.39,-6.63,-3.88
29.96,1.61,-6.16,-4.04
30.03,1.49,-6.63,-4.86
30.1,-2.94,-10.83,-4.31
30.18,-1.84,-16.55,-8.16
30.25,2.51,-3.96,-11.1
30.32,-7.92,-10.63,-2.55
30.39,-2.16,-6.08,-6.39
30.46,-1.88,-7.81,-3.14
30.53,-0.31,-7.61,-3.37
30.6,-1.18,-8.39,-4.24
30.67,0.94,-10.32,-3.69
30.74,-5.14,-12.55,-10.28
30.81,-4.94,-10.47,-7.37
30.89,0.35,-10.16,-2.63
30.96,-0.04,-5.65,-4.47
31.03,1.26,-6.43,-3.65
31.1,0.24,-7.65,-4.86
31.95,-1.1,-8.79,-3.88
32.02,1.37,-5.45,-5.1
32.09,-0.12,-6.98,-3.22
32.16,0.2,-7.85,-4.63
32.23,-2.9,-11.49,-1.53
32.3,-1.41,-15.22,-7.92
32.38,1.29,-4.71,-10.36
32.45,-5.02,-6.75,-4.86
32.52,-3.3,-6.16,-3.88
32.59,-1.37,-8,-3.49
32.66,-0.59,-7.77,-4.55
32.73,-1.1,-8.9,-3.61
32.8,1.06,-10.51,-5.92
32.87,-8.04,-12.67,-5.53
32.94,-2.08,-10.79,-7.26
33.02,-1.33,-8.67,-1.84
33.09,0.67,-6.59,-5.26
33.16,1.18,-6.39,-3.26
33.23,0.59,-6.75,-3.49
33.3,-2.08,-10.32,-4.51
33.37,2.39,-11.41,-7.45
33.44,-12.59,-13.06,-0.43
33.51,0.16,-14.91,-6
33.58,-3.3,-6.47,-6.08
33.65,-2.39,-4.71,-2.35
33.72,-1.02,-9.26,-2.51
33.8,-0.39,-8.36,-4.47
33.87,-1.45,-10.16,-3.84
33.94,2.16,-12.83,-8.36
34.01,-11.22,-9.14,-5.37
34.08,0.16,-12.47,-6.2
34.15,-2.63,-4.79,-2.43
34.22,1.22,-5.18,-5.18
34.29,0.86,-7.06,-3.88
34.36,-2.12,-9.96,-4.31
34.43,0.51,-10.2,-8.08
34.51,-11.41,-10.43,-1.02
34.58,2.51,-13.96,-6.39
34.65,-3.1,-5.22,-8.47
34.72,-2.12,-6.63,-2.04
34.79,-1.49,-7.96,-3.73
34.86,-0.39,-7.77,-4.35
34.93,-0.16,-9.53,-4.35
35,0.04,-12.16,-8.71
35.07,-10.71,-5.92,-5.61
35.15,-0.12,-11.02,-5.61
35.22,-0.75,-6.2,-3.18
35.29,1.33,-7.37,-4.24
35.36,1.41,-6.47,-4.24
35.43,-3.26,-10.4,-5.3
35.5,1.1,-12.79,-6.04
35.57,-5.96,-5.22,-4.71
35.64,-1.57,-12.16,-3.69
35.71,-3.77,-6.24,-5.81
35.78,-2.24,-6.59,-3.33
35.86,-0.31,-8.94,-2.67
35.93,-1.14,-8,-4.79
36,1.18,-10.67,-3.3
36.07,-2.24,-11.22,-9.89
36.14,-9.3,-8.12,-5.73
36.21,0.98,-10.98,-4.31
36.28,-0.59,-6.75,-3.26
36.35,2.39,-6.43,-3.65
36.42,1.18,-6.75,-4.82
36.49,-2.31,-10,-4.9
36.56,0.2,-14.95,-6.83
36.64,-0.35,-2.9,-9.81
36.71,-5.61,-8.87,-2.82
36.78,-3.02,-5.88,-5.81
36.85,-2.35,-6.2,-3.69
36.92,-0.04,-9.3,-2.55
36.99,-0.04,-7.92,-4.59
37.06,0.71,-10.08,-3.06
37.13,-4.16,-12.79,-9.89
37.99,0.04,-8.36,-3.61
38.06,-0.59,-8.39,-4.59
38.13,-0.43,-10.71,-6.16
38.2,-8.9,-10.83,-3.02
38.27,-1.22,-11.81,-6.67
38.34,-0.75,-8.47,-2.71
38.41,1.88,-5.96,-4.39
38.48,1.88,-6.32,-4.2
38.55,-1.26,-8.36,-4.79
38.62,-1.22,-10.24,-7.1
38.69,-6.16,-9.57,-2.75
38.77,-1.37,-13.14,-2.63
38.84,-2.63,-5.77,-6.98
38.91,-2.79,-6.28,-1.88
38.98,-2.12,-8.16,-3.88
39.05,0.16,-8.36,-4
39.12,0.82,-9.22,-3.96
39.19,-0.2,-11.81,-7.18
39.26,-10.32,-10.28,-3.18
39.33,-0.04,-11.14,-6.51
39.4,-1.29,-7.45,-1.65
39.48,1.53,-6,-4.82
39.55,1.02,-5.96,-3.84
39.62,-2.86,-9.96,-4.16
39.69,-0.9,-12.98,-7.45
39.76,-3.22,-6.98,-5.26
39.83,-3.45,-15.02,-0.39
39.9,-3.33,-4.67,-7.14
39.97,-2.71,-6.83,-2.35
40.04,-0.43,-8.63,-3.18
40.12,-0.27,-8.08,-4.31
40.19,0.35,-9.92,-3.53
40.26,-3.14,-11.34,-10.04
40.33,-9.14,-8.43,-6.55
40.4,1.33,-11.65,-3.53
40.47,-0.31,-6.71,-3.69
40.54,1.96,-5.49,-3.33
40.61,0.82,-6.86,-4.51
40.68,-4.98,-11.81,-2.43
40.75,-3.61,-18.91,-6.71
40.83,3.14,-4.75,-9.81
40.9,-5.49,-5.96,-5.18
40.97,-2.9,-6.28,-3.57
41.04,-1.84,-7.22,-4
41.11,-0.24,-8.79,-3.69
41.18,-0.08,-8.83,-4.2
41.25,-0.12,-11.14,-5.45
41.32,-8.75,-10.24,-3.69
41.39,-1.88,-12.32,-6.71
41.46,-1.73,-7.02,-2.98
41.53,0.94,-6.63,-5.14
41.61,1.26,-6,-4
41.68,-1.02,-7.69,-4.63
41.75,1.37,-10.98,-5.41
41.82,-11.77,-20.01,-3.84
41.89,3.14,-6.59,-10.36
41.96,-5.96,-6,-4.94
42.03,-3.06,-5.65,-3.92
42.1,-0.59,-8.47,-3.3
42.17,0.04,-8.36,-3.41
42.24,-0.39,-8.94,-4.59
42.32,-0.27,-10.94,-7.96
42.39,-11.45,-8.39,-3.77
42.46,1.41,-11.77,-5.57
42.53,-1.77,-6.39,-3.49
42.6,2,-6.63,-4.51
42.67,0.94,-6.63,-3.61
42.74,-1.53,-11.38,-4
42.81,-2.79,-14.71,-6.16
42.88,0.59,-4.79,-8.47
42.96,-5.92,-7.77,-4.43
43.03,-2.71,-6.86,-4.51
43.1,-2.28,-7.45,-3.73
43.17,-0.59,-8.59,-3.22
43.24,0.04,-8.28,-4
43.95,2.82,-8.43,-9.3
44.02,-4.35,-5.73,-6.67
44.09,-2.86,-6.71,-2.9
44.16,-1.65,-7.57,-4.39
44.23,-0.27,-8.36,-3.65
44.3,-1.1,-8.39,-4.31
44.37,0.2,-10.83,-4.55
44.45,-7.26,-11.57,-6.83
44.52,-2.71,-9.96,-6.9
44.59,-0.94,-10.12,-2.63
44.66,1.14,-6.39,-5.41
44.73,1.02,-6.12,-2.75
44.8,-0.98,-8.16,-5.41
44.87,-0.98,-10.94,-5.65
44.94,-6.67,-13.96,-2.31
45.01,2.94,-10.28,-5.3
45.09,-3.33,-4.75,-7.92
45.16,-3.14,-7.02,-1.73
45.23,-0.59,-8.63,-3.49
45.3,-0.67,-8.04,-4.16
45.37,-0.75,-9.22,-4.51
45.44,-0.75,-10.98,-8.59
45.51,-10.79,-10.67,-3.14
45.58,-0.39,-9.85,-6.67
45.65,-2.12,-8.04,-1.96
45.72,2.28,-5.88,-5.3
45.8,1.33,-6.67,-3.77
45.87,-2.24,-9.92,-4.39
45.94,-0.35,-11.38,-8.47
46.01,-4.24,-5.84,-6.12
46.08,-2.2,-13.38,-0.39
46.15,-3.41,-5.14,-7.77
46.22,-2.55,-7.1,-2
46.29,-0.27,-8.63,-3.1
46.36,-0.78,-7.81,-4.59
46.43,-0.59,-9.26,-4.08
46.5,-0.63,-11.26,-9.14
46.58,-10.32,-11.1,-3.88
46.65,0.47,-10.75,-5.41
46.72,-1.14,-6.59,-2.82
46.79,1.29,-5.41,-5.3
46.86,0.9,-7.02,-4.28
46.93,-2.47,-9.69,-3.88
47,0.43,-10.47,-6.63
47.07,-9.06,-16.28,-4.2
47.14,2.43,-10.12,-7.69
47.21,-3.69,-5.65,-7.22
47.29,-3.06,-5.84,-2.51
47.36,-1.1,-8.32,-3.65
47.43,-0.75,-8.12,-4.04
47.5,-0.51,-8.9,-4.28
47.57,-0.12,-11.06,-6.16
47.64,-8.16,-11.18,-3.84
47.71,-2.86,-11.3,-6.39
47.78,-1.8,-8.32,-3.06
47.85,1.49,-5.33,-5.22
47.93,0.94,-6.83,-3.88
48,-0.86,-8.28,-4.71
48.07,-1.49,-11.06,-5.73
48.14,-8.47,-14.36,-2.04
48.21,0.16,-11.49,-5.18
48.28,-3.84,-5.18,-7.96
48.35,-2.2,-6.35,-2.47
48.42,-1.14,-7.49,-3.3
48.49,-1.29,-7.88,-4.12
48.56,0.78,-9.53,-3.84
48.64,-1.1,-10.75,-7.77
48.71,-11.22,-10.43,-3.18
48.78,1.18,-11.18,-5.3
48.85,-1.84,-6.24,-3.57
48.92,1.65,-6.28,-4.94
48.99,1.1,-6.51,-3.88
49.06,-2.39,-10.4,-4.51
49.13,0.24,-12.51,-7.41
49.2,-4.2,-5.96,-4.71
49.91,0.04,-6.32,-4.51
49.98,1.29,-6.39,-3.53
50.05,0.51,-7.41,-4.82
50.13,-2.2,-10.32,-3.41
50.2,-4.43,-17.93,-6.12
50.27,4.12,-6.51,-9.69
50.34,-5.65,-6.55,-5.49
50.41,-1.61,-7.53,-3.18
50.48,-1.69,-7.73,-4.43
50.55,-0.47,-8.71,-3.14
50.62,-0.39,-8.59,-4.08
50.69,-0.71,-10.55,-3.88
50.77,-4.59,-10.9,-8.47
50.84,-6.59,-7.85,-8.24
50.91,1.45,-13.18,-2.39
50.98,-0.55,-6.28,-4.67
51.05,1.65,-6.71,-3.45
51.12,0.86,-7.18,-4.79
51.19,-1.61,-9.41,-3.77
51.26,-1.73,-16.87,-6.2
51.33,0.63,-5.14,-9.38
51.4,-6.2,-8.9,-2.79
51.47,-2.63,-6.94,-4.55
51.55,-2.04,-7.57,-3.8
51.62,-0.59,-9.14,-2.82
51.69,0.08,-8.55,-4.51
51.76,-1.88,-8.63,-3.77
51.83,0.08,-11.26,-8
51.9,-9.69,-10.47,-4.63
51.97,-0.04,-10.08,-6.12
52.04,-1.96,-8.43,-2.63
52.11,1.45,-6.94,-5.37
52.18,0.98,-6.71,-4.16
52.26,0.2,-8.79,-3.57
52.33,-1.73,-9.69,-4.08
52.4,-4.24,-16.24,-5.73
52.47,1.49,-3.33,-10.12
52.54,-6.63,-11.38,-2.55
52.61,-2.71,-6.08,-6.39
52.68,-1.77,-7.1,-4.39
52.75,-0.94,-8.32,-3.37
52.82,-0.71,-8.04,-4.79
52.9,-0.04,-9.34,-3.41
52.97,-1.37,-11.77,-7.69
53.04,-9.38,-7.81,-5.92
53.11,0.2,-10.28,-5.49
53.18,-1.22,-7.22,-3.22
53.25,1.88,-6.86,-4.86
53.32,1.1,-6.43,-4.63
53.39,-2.55,-9.77,-5.22
53.46,0.31,-11.81,-6.71
53.53,-6.12,-6.35,-5.69
53.61,-1.88,-12.43,-0.43
53.68,-4.28,-5.26,-6.94
53.75,-2.47,-7.06,-2.67
53.82,-0.78,-8.55,-3.41
53.89,-0.43,-7.96,-4.98
53.96,0.9,-9.45,-3.41
54.03,-2.71,-11.73,-10.59
54.1,-10.04,-8.28,-5.88
54.17,2.39,-11.41,-4.28
54.24,-0.43,-6.59,-4.04
54.31,2,-6.47,-3.57
54.39,1.06,-6.67,-4.59
54.46,-2.98,-10.47,-4.55
54.53,-0.67,-15.77,-6.98
54.6,-0.35,-2.98,-8.36
54.67,-4.82,-10.87,-2.43
54.74,-2.86,-5.65,-5.92
54.81,-2.16,-7.18,-3.77
54.88,-0.47,-8.9,-3.53
54.95,-0.27,-8.24,-4.63
55.02,0.86,-9.41,-3.69
55.1,-4.55,-12.43,-9.92
55.17,-8.08,-7.69,-6.32
55.95,-0.39,-8.9,-2.79
56.02,-0.47,-8.32,-4.47
56.09,-0.2,-9.81,-3.45
56.16,-2.12,-11.77,-9.3
56.23,-10.2,-7.53,-7.92
56.3,1.84,-12.04,-2.79
56.38,-0.98,-6.2,-3.77
56.45,1.84,-6.55,-3.77
56.52,0.98,-6.79,-4.51
56.59,-2.47,-10.36,-3.53
56.66,-0.31,-16.4,-6.43
56.73,-0.59,-4.04,-8.9
56.8,-5.84,-11.1,-2.55
56.87,-3.22,-6.71,-5.96
56.94,-2.24,-6.94,-3.65
57.02,-0.75,-8.71,-2.55
57.09,-0.24,-8.04,-4.47
57.16,-0.39,-9.26,-3.22
57.23,-0.39,-11.02,-9.34
57.3,-10.79,-9.96,-5.69
57.37,0.75,-10.28,-6.16
57.44,-1.61,-7.02,-2.71
57.51,1.84,-7.1,-4.67
57.58,1.33,-6.51,-4.28
57.65,-0.86,-9.1,-3.96
57.72,-0.71,-9.89,-5.84
57.8,-8.16,-13.96,-1.14
57.87,3.02,-10.83,-5.81
57.94,-4.39,-6.67,-6.79
58.01,-2.16,-6.83,-2.67
58.08,-1.65,-8.24,-4.08
58.15,-0.16,-8.04,-4
58.22,-0.71,-9.02,-3.73
58.29,0.08,-9.49,-4.47
58.36,-4.35,-12.87,-9.73
58.43,-4.08,-10.63,-6.32
58.51,1.29,-9.85,-3.57
58.58,0.35,-6.39,-4.59
58.65,1.45,-6.39,-3.26
58.72,0.47,-7.41,-4.28
58.79,-2.63,-10.2,-2.86
58.86,-0.71,-15.93,-6.28
58.93,-3.65,-4.12,-6.9
59,-3.37,-11.49,-2.71
59.07,-4.12,-6.47,-5.33
59.15,-1.61,-7.73,-3.53
59.22,-0.82,-8.98,-2.39
59.29,-0.2,-7.96,-4.79
59.36,0.51,-9.49,-3.96
59.43,-1.49,-10.79,-9.65
59.5,-10.75,-8.36,-5.53
59.57,0.04,-11.53,-5.41
59.64,-1.45,-6.79,-2.86
59.71,1.29,-7.49,-4.47
59.78,1.53,-6.9,-4.16
59.86,0.04,-7.18,-3.41
59.93,-1.14,-10.08,-4.08
60,-10.9,-17.81,-2.75
